locus_tag	protein_id	go_id	qualifier	aspect	evidence_code	reference	with_from	assigned_by	annotation_date	source_taxon	mapping_ambiguity	mapping_method
M744_RS00120	WP_011243271.1	GO:0005524	enables	F	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00120	WP_011243271.1	GO:0006289	involved_in	P	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00120	WP_011243271.1	GO:0009380	located_in	C	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00120	WP_011243271.1	GO:0016887	enables	F	IEA	PMID:33270901	HMM:NF003673.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00135	WP_011377623.1	GO:0005524	enables	F	IEA	PMID:33270901	ArchId:10124897	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00135	WP_011377623.1	GO:0016887	enables	F	IEA	PMID:33270901	ArchId:10124897	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00135	WP_011377623.1	GO:0140359	enables	F	IEA	PMID:33270901	ArchId:10124897	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00140	WP_011243275.1	GO:0006457	involved_in	P	IEA	PMID:33270901	HMM:NF001033.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00140	WP_011243275.1	GO:0051082	enables	F	IEA	PMID:33270901	HMM:NF001033.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00155	WP_011243277.1	GO:0000156	enables	F	IEA	PMID:33270901	ArchId:11433066	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00155	WP_011243277.1	GO:0000160	involved_in	P	IEA	PMID:33270901	ArchId:11433066	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00155	WP_011243277.1	GO:0003677	enables	F	IEA	PMID:33270901	ArchId:11433066	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00155	WP_011243277.1	GO:0006355	involved_in	P	IEA	PMID:33270901	ArchId:11433066	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00160	WP_011243278.1	GO:0006508	involved_in	P	IEA	PMID:33270901	ArchId:10003681	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00160	WP_011243278.1	GO:0008237	enables	F	IEA	PMID:33270901	ArchId:10003681	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00160	WP_011243278.1	GO:0008270	enables	F	IEA	PMID:33270901	ArchId:10003681	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00165	WP_011243279.1	GO:0005524	enables	F	IEA	PMID:33270901	HMM:TIGR00092.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00165	WP_011243279.1	GO:0005525	enables	F	IEA	PMID:33270901	HMM:TIGR00092.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00165	WP_011243279.1	GO:0016887	enables	F	IEA	PMID:33270901	HMM:TIGR00092.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00170	WP_011377621.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:11436533	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00170	WP_011377621.1	GO:0022857	enables	F	IEA	PMID:33270901	ArchId:11436533	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00170	WP_011377621.1	GO:0042802	enables	F	IEA	PMID:33270901	ArchId:11436533	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00170	WP_011377621.1	GO:0055085	involved_in	P	IEA	PMID:33270901	ArchId:11436533	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00175	WP_011243281.1	GO:0008761	enables	F	IEA	PMID:33270901	HMM:TIGR00236.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00190	WP_011377618.1	GO:0005886	located_in	C	IEA	PMID:33270901	ArchId:10002902	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00205	WP_011243287.1	GO:0015297	enables	F	IEA	PMID:33270901	HMM:NF013188.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00205	WP_011243287.1	GO:0016020	located_in	C	IEA	PMID:33270901	HMM:NF013188.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00205	WP_011243287.1	GO:1902600	involved_in	P	IEA	PMID:33270901	HMM:NF013188.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00220	WP_011377616.1	GO:0008753	enables	F	IEA	PMID:33270901	ArchId:10001414	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00220	WP_011377616.1	GO:0010181	enables	F	IEA	PMID:33270901	ArchId:10001414	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00220	WP_011377616.1	GO:0050136	enables	F	IEA	PMID:33270901	ArchId:10001414	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00220	WP_011377616.1	GO:0052873	enables	F	IEA	PMID:33270901	ArchId:10001414	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00225	WP_011377615.1	GO:0009107	involved_in	P	IEA	PMID:33270901	HMM:TIGR00510.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00225	WP_011377615.1	GO:0016992	enables	F	IEA	PMID:33270901	HMM:TIGR00510.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00225	WP_011377615.1	GO:0051539	enables	F	IEA	PMID:33270901	HMM:TIGR00510.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00225	WP_011377615.1	GO:1904047	enables	F	IEA	PMID:33270901	HMM:TIGR00510.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00240	WP_231621346.1	GO:0004540	enables	F	IEA	PMID:33270901	ArchId:10003974	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00245	WP_011243294.1	GO:0016020	located_in	C	IEA	PMID:33270901	HMM:NF014566.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00250	WP_011243295.1	GO:0004802	enables	F	IEA	PMID:33270901	HMM:TIGR00232.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00255	WP_011243296.1	GO:0004315	enables	F	IEA	PMID:33270901	HMM:TIGR03150.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00255	WP_011243296.1	GO:0006633	involved_in	P	IEA	PMID:33270901	HMM:TIGR03150.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00260	WP_011243297.1	GO:0006633	involved_in	P	IEA	PMID:33270901	HMM:NF002149.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00265	WP_011243298.1	GO:0009055	enables	F	IEA	PMID:33270901	HMM:TIGR03048.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00265	WP_011243298.1	GO:0009538	located_in	C	IEA	PMID:33270901	HMM:TIGR03048.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00265	WP_011243298.1	GO:0009773	involved_in	P	IEA	PMID:33270901	HMM:TIGR03048.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00265	WP_011243298.1	GO:0051539	enables	F	IEA	PMID:33270901	HMM:TIGR03048.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00270	WP_011243299.1	GO:0004360	enables	F	IEA	PMID:33270901	HMM:TIGR01135.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00270	WP_011243299.1	GO:1901137	involved_in	P	IEA	PMID:33270901	HMM:TIGR01135.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00285	WP_011377614.1	GO:0005515	enables	F	IEA	PMID:33270901	ArchId:11419012	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00290	WP_011377613.1	GO:0008616	involved_in	P	IEA	PMID:33270901	HMM:TIGR00276.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00290	WP_011377613.1	GO:0051539	enables	F	IEA	PMID:33270901	HMM:TIGR00276.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00290	WP_011377613.1	GO:0052693	enables	F	IEA	PMID:33270901	HMM:TIGR00276.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00295	WP_011243304.1	GO:0005975	involved_in	P	IEA	PMID:33270901	HMM:TIGR01198.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00295	WP_011243304.1	GO:0006098	involved_in	P	IEA	PMID:33270901	HMM:TIGR01198.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00295	WP_011243304.1	GO:0017057	enables	F	IEA	PMID:33270901	HMM:TIGR01198.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00300	WP_011377612.1	GO:0009101	involved_in	P	IEA	PMID:33270901	ArchId:11444513	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00300	WP_011377612.1	GO:0016757	enables	F	IEA	PMID:33270901	ArchId:11444513	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00310	WP_011377610.1	GO:0008643	involved_in	P	IEA	PMID:33270901	ArchId:10003067	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00310	WP_011377610.1	GO:0055085	involved_in	P	IEA	PMID:33270901	ArchId:10003067	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00310	WP_011377610.1	GO:0140359	enables	F	IEA	PMID:33270901	ArchId:10003067	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00315	WP_011243308.1	GO:0003856	enables	F	IEA	PMID:33270901	HMM:TIGR01357.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00315	WP_011243308.1	GO:0005737	located_in	C	IEA	PMID:33270901	HMM:TIGR01357.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00315	WP_011243308.1	GO:0009073	involved_in	P	IEA	PMID:33270901	HMM:TIGR01357.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00315	WP_011243308.1	GO:0009423	involved_in	P	IEA	PMID:33270901	HMM:TIGR01357.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00320	WP_011377609.1	GO:0030638	involved_in	P	IEA	PMID:33270901	ArchId:10009343	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00325	WP_011243310.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:10007838	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00340	WP_011243312.1	GO:0015977	involved_in	P	IEA	PMID:33270901	HMM:NF053796.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00340	WP_011243312.1	GO:0031470	located_in	C	IEA	PMID:33270901	HMM:NF053796.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00350	WP_011243314.1	GO:0015562	enables	F	IEA	PMID:33270901	ArchId:10001851	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00350	WP_011243314.1	GO:1905887	involved_in	P	IEA	PMID:33270901	ArchId:10001851	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00355	WP_011243315.1	GO:0006281	involved_in	P	IEA	PMID:33270901	HMM:TIGR00644.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00355	WP_011243315.1	GO:0006310	involved_in	P	IEA	PMID:33270901	HMM:TIGR00644.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00355	WP_011243315.1	GO:0008409	enables	F	IEA	PMID:33270901	HMM:TIGR00644.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00360	WP_011243316.1	GO:0006508	involved_in	P	IEA	PMID:33270901	ArchId:11435057	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00360	WP_011243316.1	GO:0008236	enables	F	IEA	PMID:33270901	ArchId:11435057	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00370	WP_011377605.1	GO:0001530	enables	F	IEA	PMID:33270901	ArchId:10788265	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00370	WP_011377605.1	GO:0015920	involved_in	P	IEA	PMID:33270901	ArchId:10788265	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00370	WP_011377605.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:10788265	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00375	WP_011243319.1	GO:0015221	enables	F	IEA	PMID:33270901	HMM:TIGR04406.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00375	WP_011243319.1	GO:0015920	involved_in	P	IEA	PMID:33270901	HMM:TIGR04406.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00375	WP_011243319.1	GO:0042626	enables	F	IEA	PMID:33270901	HMM:TIGR04406.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00375	WP_011243319.1	GO:0043190	located_in	C	IEA	PMID:33270901	HMM:TIGR04406.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00380	WP_231621348.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:10002725	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00380	WP_231621348.1	GO:0043190	located_in	C	IEA	PMID:33270901	ArchId:10002725	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00380	WP_231621348.1	GO:0055085	involved_in	P	IEA	PMID:33270901	ArchId:10002725	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00380	WP_231621348.1	GO:0140359	enables	F	IEA	PMID:33270901	ArchId:10002725	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00385	WP_011243321.1	GO:0017004	involved_in	P	IEA	PMID:33270901	HMM:TIGR03144.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00385	WP_011243321.1	GO:0020037	enables	F	IEA	PMID:33270901	HMM:TIGR03144.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00390	WP_011243322.1	GO:0008152	involved_in	P	IEA	PMID:33270901	HMM:TIGR01488.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00390	WP_011243322.1	GO:0016787	enables	F	IEA	PMID:33270901	HMM:TIGR01488.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00400	WP_011243324.1	GO:0030494	involved_in	P	IEA	PMID:33270901	HMM:TIGR02032.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00400	WP_011243324.1	GO:0045550	enables	F	IEA	PMID:33270901	HMM:TIGR02032.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00405	WP_011243325.1	GO:0006412	involved_in	P	IEA	PMID:33270901	HMM:TIGR00496.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00405	WP_011243325.1	GO:0008135	enables	F	IEA	PMID:33270901	HMM:TIGR00496.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00410	WP_039755415.1	GO:0005737	located_in	C	IEA	PMID:33270901	HMM:TIGR02075.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00410	WP_039755415.1	GO:0006221	involved_in	P	IEA	PMID:33270901	HMM:TIGR02075.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00410	WP_039755415.1	GO:0015949	involved_in	P	IEA	PMID:33270901	HMM:TIGR02075.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00410	WP_039755415.1	GO:0033862	enables	F	IEA	PMID:33270901	HMM:TIGR02075.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00415	WP_011243327.1	GO:0006071	involved_in	P	IEA	PMID:33270901	HMM:TIGR00330.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00415	WP_011243327.1	GO:0006094	involved_in	P	IEA	PMID:33270901	HMM:TIGR00330.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00415	WP_011243327.1	GO:0042132	enables	F	IEA	PMID:33270901	HMM:TIGR00330.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00420	WP_011243328.1	GO:0008883	enables	F	IEA	PMID:33270901	HMM:NF000744.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00430	WP_011243330.1	GO:0008080	enables	F	IEA	PMID:33270901	ArchId:11447364	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00445	WP_011377602.1	GO:0008171	enables	F	IEA	PMID:33270901	HMM:NF013087.6	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00455	WP_011243336.1	GO:0008168	enables	F	IEA	PMID:33270901	ArchId:10789277	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00455	WP_011243336.1	GO:1904047	enables	F	IEA	PMID:33270901	ArchId:10789277	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00460	WP_011377601.1	GO:0003677	enables	F	IEA	PMID:33270901	HMM:NF042861.5	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00465	WP_011243338.1	GO:0016779	enables	F	IEA	PMID:33270901	ArchId:10009514	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00470	WP_011377600.1	GO:0006797	involved_in	P	IEA	PMID:33270901	HMM:TIGR03708.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00470	WP_011377600.1	GO:0043751	enables	F	IEA	PMID:33270901	HMM:TIGR03708.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00475	WP_011243340.1	GO:0003919	enables	F	IEA	PMID:33270901	HMM:NF004160.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00475	WP_011243340.1	GO:0009231	involved_in	P	IEA	PMID:33270901	HMM:NF004160.0	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00485	WP_231621349.1	GO:0009966	involved_in	P	IEA	PMID:33270901	HMM:TIGR00254.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00485	WP_231621349.1	GO:0009975	enables	F	IEA	PMID:33270901	HMM:TIGR00254.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00490	WP_011243342.1	GO:0006081	involved_in	P	IEA	PMID:33270901	ArchId:10162890	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00500	WP_011243344.1	GO:0004252	enables	F	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00500	WP_011243344.1	GO:0009306	involved_in	P	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00500	WP_011243344.1	GO:0016020	located_in	C	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00500	WP_011243344.1	GO:0051604	involved_in	P	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00510	WP_011377597.1	GO:0003824	enables	F	IEA	PMID:33270901	HMM:NF012521.7	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00515	WP_231621350.1	GO:0004222	enables	F	IEA	PMID:33270901	ArchId:11441430	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00515	WP_231621350.1	GO:0016020	located_in	C	IEA	PMID:33270901	ArchId:11441430	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00515	WP_231621350.1	GO:0071586	involved_in	P	IEA	PMID:33270901	ArchId:11441430	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0005886	located_in	C	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0008658	enables	F	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0008955	enables	F	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0009002	enables	F	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0009252	involved_in	P	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0051301	involved_in	P	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00525	WP_011243349.1	GO:0071555	involved_in	P	IEA	PMID:33270901	ArchId:11433609	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00540	WP_011377593.1	GO:0003924	enables	F	IEA	PMID:33270901	HMM:TIGR01393.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00540	WP_011377593.1	GO:0005525	enables	F	IEA	PMID:33270901	HMM:TIGR01393.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00545	WP_011243353.1	GO:0004252	enables	F	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00545	WP_011243353.1	GO:0009306	involved_in	P	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00545	WP_011243353.1	GO:0016020	located_in	C	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00545	WP_011243353.1	GO:0051604	involved_in	P	IEA	PMID:33270901	HMM:TIGR02227.1	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00565	WP_011377589.1	GO:0010181	enables	F	IEA	PMID:33270901	ArchId:10121216	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
M744_RS00565	WP_011377589.1	GO:0016491	enables	F	IEA	PMID:33270901	ArchId:10121216	RefSeq	20260514	taxon:1350461		exact RefSeq protein_id
