subject_locus_tag	relationship	object_namespace	object_id	seqid	start	end	strand	mapping_ambiguity	source	evidence	mapping_method
M744_RS00025	cds_segment	RefSeq_location	NZ_CP006471.1:4314-5318:+	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00025	current_locus_tag	RefSeq_locus_tag	M744_RS00025	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3		direct annotation
M744_RS00025	genomic_location	RefSeq_location	NZ_CP006471.1:4314-5318:+	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00025	old_locus_tag	legacy_locus_tag	M744_00025	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00025	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0582	NZ_CP006471.1	4314	5318	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243253.1	exact shared RefSeq protein_id
M744_RS00025	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02960	NZ_CP006471.1	4314	5318	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243253.1	exact shared RefSeq protein_id
M744_RS00025	protein_id	RefSeq_protein	WP_011243253.1	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00025	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	4314	5318	+		UTEX RefSeq GFF3		direct seqid
M744_RS00030	cds_segment	RefSeq_location	NZ_CP006471.1:5357-5704:+	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00030	current_locus_tag	RefSeq_locus_tag	M744_RS00030	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3		direct annotation
M744_RS00030	genomic_location	RefSeq_location	NZ_CP006471.1:5357-5704:+	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00030	old_locus_tag	legacy_locus_tag	M744_00030	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00030	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0581	NZ_CP006471.1	5357	5704	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243254.1	exact shared RefSeq protein_id
M744_RS00030	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02955	NZ_CP006471.1	5357	5704	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243254.1	exact shared RefSeq protein_id
M744_RS00030	protein_id	RefSeq_protein	WP_011243254.1	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00030	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	5357	5704	+		UTEX RefSeq GFF3		direct seqid
M744_RS00035	cds_segment	RefSeq_location	NZ_CP006471.1:5801-7618:+	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00035	current_locus_tag	RefSeq_locus_tag	M744_RS00035	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct annotation
M744_RS00035	gene_symbol	gene_symbol	mrdA	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct gene qualifier
M744_RS00035	genomic_location	RefSeq_location	NZ_CP006471.1:5801-7618:+	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00035	old_locus_tag	legacy_locus_tag	M744_00035	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00035	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0580	NZ_CP006471.1	5801	7618	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377631.1	exact shared RefSeq protein_id
M744_RS00035	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02950	NZ_CP006471.1	5801	7618	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377631.1	exact shared RefSeq protein_id
M744_RS00035	protein_id	RefSeq_protein	WP_011377631.1	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00035	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	5801	7618	+		UTEX RefSeq GFF3		direct seqid
M744_RS00040	cds_segment	RefSeq_location	NZ_CP006471.1:7573-8706:-	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00040	current_locus_tag	RefSeq_locus_tag	M744_RS00040	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3		direct annotation
M744_RS00040	genomic_location	RefSeq_location	NZ_CP006471.1:7573-8706:-	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00040	old_locus_tag	legacy_locus_tag	M744_00040	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00040	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0579	NZ_CP006471.1	7573	8706	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243256.1	exact shared RefSeq protein_id
M744_RS00040	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02945	NZ_CP006471.1	7573	8706	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243256.1	exact shared RefSeq protein_id
M744_RS00040	protein_id	RefSeq_protein	WP_011243256.1	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00040	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	7573	8706	-		UTEX RefSeq GFF3		direct seqid
M744_RS00045	cds_segment	RefSeq_location	NZ_CP006471.1:8722-9930:-	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00045	current_locus_tag	RefSeq_locus_tag	M744_RS00045	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3		direct annotation
M744_RS00045	genomic_location	RefSeq_location	NZ_CP006471.1:8722-9930:-	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00045	old_locus_tag	legacy_locus_tag	M744_00045	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00045	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0578	NZ_CP006471.1	8722	9930	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243257.1	exact shared RefSeq protein_id
M744_RS00045	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02940	NZ_CP006471.1	8722	9930	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243257.1	exact shared RefSeq protein_id
M744_RS00045	protein_id	RefSeq_protein	WP_011243257.1	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00045	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	8722	9930	-		UTEX RefSeq GFF3		direct seqid
M744_RS00050	cds_segment	RefSeq_location	NZ_CP006471.1:10278-11108:-	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00050	current_locus_tag	RefSeq_locus_tag	M744_RS00050	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3		direct annotation
M744_RS00050	genomic_location	RefSeq_location	NZ_CP006471.1:10278-11108:-	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00050	old_locus_tag	legacy_locus_tag	M744_00055	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00050	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0576	NZ_CP006471.1	10278	11108	-		PCC 7942 and UTEX RefSeq GFF3	WP_039755858.1	exact shared RefSeq protein_id
M744_RS00050	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02935	NZ_CP006471.1	10278	11108	-		PCC 7942 and UTEX RefSeq GFF3	WP_039755858.1	exact shared RefSeq protein_id
M744_RS00050	protein_id	RefSeq_protein	WP_039755858.1	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00050	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	10278	11108	-		UTEX RefSeq GFF3		direct seqid
M744_RS00055	cds_segment	RefSeq_location	NZ_CP006471.1:11388-11924:+	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00055	current_locus_tag	RefSeq_locus_tag	M744_RS00055	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3		direct annotation
M744_RS00055	genomic_location	RefSeq_location	NZ_CP006471.1:11388-11924:+	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00055	old_locus_tag	legacy_locus_tag	M744_00060	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00055	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0575	NZ_CP006471.1	11388	11924	+		PCC 7942 and UTEX RefSeq GFF3	WP_231621344.1	exact shared RefSeq protein_id
M744_RS00055	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02930	NZ_CP006471.1	11388	11924	+		PCC 7942 and UTEX RefSeq GFF3	WP_231621344.1	exact shared RefSeq protein_id
M744_RS00055	protein_id	RefSeq_protein	WP_231621344.1	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00055	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	11388	11924	+		UTEX RefSeq GFF3		direct seqid
M744_RS00060	cds_segment	RefSeq_location	NZ_CP006471.1:11896-12726:-	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00060	current_locus_tag	RefSeq_locus_tag	M744_RS00060	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3		direct annotation
M744_RS00060	genomic_location	RefSeq_location	NZ_CP006471.1:11896-12726:-	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00060	old_locus_tag	legacy_locus_tag	M744_00065	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00060	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0574	NZ_CP006471.1	11896	12726	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243261.1	exact shared RefSeq protein_id
M744_RS00060	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02925	NZ_CP006471.1	11896	12726	-		PCC 7942 and UTEX RefSeq GFF3	WP_011243261.1	exact shared RefSeq protein_id
M744_RS00060	protein_id	RefSeq_protein	WP_011243261.1	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00060	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	11896	12726	-		UTEX RefSeq GFF3		direct seqid
M744_RS00065	cds_segment	RefSeq_location	NZ_CP006471.1:12805-13041:+	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00065	current_locus_tag	RefSeq_locus_tag	M744_RS00065	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3		direct annotation
M744_RS00065	genomic_location	RefSeq_location	NZ_CP006471.1:12805-13041:+	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00065	old_locus_tag	legacy_locus_tag	M744_00070	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00065	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0573	NZ_CP006471.1	12805	13041	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377629.1	exact shared RefSeq protein_id
M744_RS00065	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02920	NZ_CP006471.1	12805	13041	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377629.1	exact shared RefSeq protein_id
M744_RS00065	protein_id	RefSeq_protein	WP_011377629.1	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00065	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	12805	13041	+		UTEX RefSeq GFF3		direct seqid
M744_RS00070	current_locus_tag	RefSeq_locus_tag	M744_RS00070	NZ_CP006471.1	13050	13120	-		UTEX RefSeq GFF3		direct annotation
M744_RS00070	genomic_location	RefSeq_location	NZ_CP006471.1:13050-13120:-	NZ_CP006471.1	13050	13120	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00070	old_locus_tag	legacy_locus_tag	M744_00075	NZ_CP006471.1	13050	13120	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00070	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	13050	13120	-		UTEX RefSeq GFF3		direct seqid
M744_RS00075	cds_segment	RefSeq_location	NZ_CP006471.1:13204-13644:+	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00075	current_locus_tag	RefSeq_locus_tag	M744_RS00075	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3		direct annotation
M744_RS00075	genomic_location	RefSeq_location	NZ_CP006471.1:13204-13644:+	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00075	old_locus_tag	legacy_locus_tag	M744_00080	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00075	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0572	NZ_CP006471.1	13204	13644	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377628.1	exact shared RefSeq protein_id
M744_RS00075	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02910	NZ_CP006471.1	13204	13644	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377628.1	exact shared RefSeq protein_id
M744_RS00075	protein_id	RefSeq_protein	WP_011377628.1	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00075	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	13204	13644	+		UTEX RefSeq GFF3		direct seqid
M744_RS00080	cds_segment	RefSeq_location	NZ_CP006471.1:13641-15014:+	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00080	current_locus_tag	RefSeq_locus_tag	M744_RS00080	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3		direct annotation
M744_RS00080	genomic_location	RefSeq_location	NZ_CP006471.1:13641-15014:+	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00080	old_locus_tag	legacy_locus_tag	M744_00085	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00080	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0571	NZ_CP006471.1	13641	15014	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243263.1	exact shared RefSeq protein_id
M744_RS00080	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02905	NZ_CP006471.1	13641	15014	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243263.1	exact shared RefSeq protein_id
M744_RS00080	protein_id	RefSeq_protein	WP_011243263.1	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00080	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	13641	15014	+		UTEX RefSeq GFF3		direct seqid
M744_RS00085	cds_segment	RefSeq_location	NZ_CP006471.1:15117-16460:+	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00085	current_locus_tag	RefSeq_locus_tag	M744_RS00085	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3		direct annotation
M744_RS00085	genomic_location	RefSeq_location	NZ_CP006471.1:15117-16460:+	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00085	old_locus_tag	legacy_locus_tag	M744_00090	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00085	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0570	NZ_CP006471.1	15117	16460	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243264.1	exact shared RefSeq protein_id
M744_RS00085	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02900	NZ_CP006471.1	15117	16460	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243264.1	exact shared RefSeq protein_id
M744_RS00085	protein_id	RefSeq_protein	WP_011243264.1	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00085	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	15117	16460	+		UTEX RefSeq GFF3		direct seqid
M744_RS00090	cds_segment	RefSeq_location	NZ_CP006471.1:16685-17620:+	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00090	current_locus_tag	RefSeq_locus_tag	M744_RS00090	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3		direct annotation
M744_RS00090	genomic_location	RefSeq_location	NZ_CP006471.1:16685-17620:+	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00090	old_locus_tag	legacy_locus_tag	M744_00095	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00090	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0569	NZ_CP006471.1	16685	17620	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243265.1	exact shared RefSeq protein_id
M744_RS00090	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02895	NZ_CP006471.1	16685	17620	+		PCC 7942 and UTEX RefSeq GFF3	WP_011243265.1	exact shared RefSeq protein_id
M744_RS00090	protein_id	RefSeq_protein	WP_011243265.1	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00090	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	16685	17620	+		UTEX RefSeq GFF3		direct seqid
M744_RS00095	cds_segment	RefSeq_location	NZ_CP006471.1:17651-18967:+	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00095	current_locus_tag	RefSeq_locus_tag	M744_RS00095	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3		direct annotation
M744_RS00095	genomic_location	RefSeq_location	NZ_CP006471.1:17651-18967:+	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00095	old_locus_tag	legacy_locus_tag	M744_00100	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00095	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0568	NZ_CP006471.1	17651	18967	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377627.1	exact shared RefSeq protein_id
M744_RS00095	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02890	NZ_CP006471.1	17651	18967	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377627.1	exact shared RefSeq protein_id
M744_RS00095	protein_id	RefSeq_protein	WP_011377627.1	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00095	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	17651	18967	+		UTEX RefSeq GFF3		direct seqid
M744_RS00100	cds_segment	RefSeq_location	NZ_CP006471.1:18970-20319:+	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS00100	current_locus_tag	RefSeq_locus_tag	M744_RS00100	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3		direct annotation
M744_RS00100	genomic_location	RefSeq_location	NZ_CP006471.1:18970-20319:+	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS00100	old_locus_tag	legacy_locus_tag	M744_00105	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS00100	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_0567	NZ_CP006471.1	18970	20319	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377626.1	exact shared RefSeq protein_id
M744_RS00100	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS02885	NZ_CP006471.1	18970	20319	+		PCC 7942 and UTEX RefSeq GFF3	WP_011377626.1	exact shared RefSeq protein_id
M744_RS00100	protein_id	RefSeq_protein	WP_011377626.1	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS00100	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	18970	20319	+		UTEX RefSeq GFF3		direct seqid
