locus_tag	pass00399_search_observation	pass00399_search_ids	source_integrity	admitted_evidence
M744_RS00325	exact_sequence_unique	gnl|PRJNA209528|M744_00340	unverified_transport	no
M744_RS00330	absent		unverified_transport	no
M744_RS00335	exact_sequence_unique	gnl|PRJNA209528|M744_00355	unverified_transport	no
M744_RS00340	exact_sequence_unique	gnl|PRJNA209528|M744_00360	unverified_transport	no
M744_RS00345	exact_sequence_unique	gnl|PRJNA209528|M744_00365	unverified_transport	no
M744_RS00350	exact_sequence_unique	gnl|PRJNA209528|M744_00370	unverified_transport	no
M744_RS00355	exact_sequence_unique	gnl|PRJNA209528|M744_00375	unverified_transport	no
M744_RS00360	exact_sequence_unique	gnl|PRJNA209528|M744_00380	unverified_transport	no
M744_RS00365	absent		unverified_transport	no
M744_RS00370	absent		unverified_transport	no
M744_RS00375	exact_sequence_unique	gnl|PRJNA209528|M744_00395	unverified_transport	no
M744_RS00380	exact_sequence_unique	gnl|PRJNA209528|M744_00400	unverified_transport	no
M744_RS00385	exact_sequence_unique	gnl|PRJNA209528|M744_00405	unverified_transport	no
M744_RS00390	exact_sequence_unique	gnl|PRJNA209528|M744_00410	unverified_transport	no
M744_RS00395	exact_sequence_unique	gnl|PRJNA209528|M744_00415	unverified_transport	no
M744_RS00400	exact_sequence_unique	gnl|PRJNA209528|M744_00420	unverified_transport	no
M744_RS00405	exact_sequence_unique	gnl|PRJNA209528|M744_00425	unverified_transport	no
M744_RS00410	absent		unverified_transport	no
M744_RS00415	exact_sequence_unique	gnl|PRJNA209528|M744_00435	unverified_transport	no
M744_RS00420	exact_sequence_unique	gnl|PRJNA209528|M744_00440	unverified_transport	no
M744_RS00425	exact_sequence_unique	gnl|PRJNA209528|M744_00445	unverified_transport	no
M744_RS00430	exact_sequence_unique	gnl|PRJNA209528|M744_00450	unverified_transport	no
M744_RS00435	exact_sequence_unique	gnl|PRJNA209528|M744_00455	unverified_transport	no
M744_RS00440	exact_sequence_unique	gnl|PRJNA209528|M744_00460	unverified_transport	no
M744_RS00445	absent		unverified_transport	no
M744_RS00450	exact_sequence_unique	gnl|PRJNA209528|M744_00470	unverified_transport	no
M744_RS00455	exact_sequence_unique	gnl|PRJNA209528|M744_00480	unverified_transport	no
M744_RS00460	absent		unverified_transport	no
M744_RS00465	exact_sequence_unique	gnl|PRJNA209528|M744_00490	unverified_transport	no
M744_RS00470	exact_sequence_unique	gnl|PRJNA209528|M744_00495	unverified_transport	no
M744_RS00475	exact_sequence_unique	gnl|PRJNA209528|M744_00500	unverified_transport	no
M744_RS00485	absent		unverified_transport	no
M744_RS00490	exact_sequence_unique	gnl|PRJNA209528|M744_00515	unverified_transport	no
M744_RS00495	exact_sequence_unique	gnl|PRJNA209528|M744_00520	unverified_transport	no
M744_RS00500	exact_sequence_unique	gnl|PRJNA209528|M744_00525	unverified_transport	no
M744_RS00505	exact_sequence_unique	gnl|PRJNA209528|M744_00530	unverified_transport	no
M744_RS00510	exact_sequence_unique	gnl|PRJNA209528|M744_00535	unverified_transport	no
M744_RS00515	absent		unverified_transport	no
M744_RS00520	exact_sequence_unique	gnl|PRJNA209528|M744_00545	unverified_transport	no
M744_RS00525	exact_sequence_unique	gnl|PRJNA209528|M744_00550	unverified_transport	no
M744_RS00530	exact_sequence_unique	gnl|PRJNA209528|M744_00555	unverified_transport	no
M744_RS00535	exact_sequence_unique	gnl|PRJNA209528|M744_00560	unverified_transport	no
M744_RS00540	exact_sequence_unique	gnl|PRJNA209528|M744_00565	unverified_transport	no
M744_RS00545	exact_sequence_unique	gnl|PRJNA209528|M744_00570	unverified_transport	no
M744_RS00550	absent		unverified_transport	no
M744_RS00555	absent		unverified_transport	no
M744_RS00560	exact_sequence_unique	gnl|PRJNA209528|M744_00585	unverified_transport	no
M744_RS00565	exact_sequence_unique	gnl|PRJNA209528|M744_00595	unverified_transport	no
M744_RS00570	exact_sequence_unique	gnl|PRJNA209528|M744_00600	unverified_transport	no
M744_RS00575	exact_sequence_unique	gnl|PRJNA209528|M744_00605	unverified_transport	no
M744_RS00580	exact_sequence_unique	gnl|PRJNA209528|M744_00610	unverified_transport	no
M744_RS00590	exact_sequence_unique	gnl|PRJNA209528|M744_00620	unverified_transport	no
M744_RS00595	exact_sequence_unique	gnl|PRJNA209528|M744_00625	unverified_transport	no
M744_RS00600	exact_sequence_unique	gnl|PRJNA209528|M744_00630	unverified_transport	no
M744_RS00605	absent		unverified_transport	no
M744_RS00610	exact_sequence_unique	gnl|PRJNA209528|M744_00640	unverified_transport	no
M744_RS00615	exact_sequence_unique	gnl|PRJNA209528|M744_00645	unverified_transport	no
M744_RS00620	exact_sequence_unique	gnl|PRJNA209528|M744_00650	unverified_transport	no
M744_RS00625	exact_sequence_unique	gnl|PRJNA209528|M744_00655	unverified_transport	no
M744_RS00630	exact_sequence_unique	gnl|PRJNA209528|M744_00660	unverified_transport	no
M744_RS00635	exact_sequence_unique	gnl|PRJNA209528|M744_00665	unverified_transport	no
M744_RS00640	exact_sequence_unique	gnl|PRJNA209528|M744_00670	unverified_transport	no
M744_RS00645	absent		unverified_transport	no
M744_RS00650	exact_sequence_unique	gnl|PRJNA209528|M744_00680	unverified_transport	no
M744_RS00655	exact_sequence_unique	gnl|PRJNA209528|M744_00690	unverified_transport	no
M744_RS00660	exact_sequence_unique	gnl|PRJNA209528|M744_00695	unverified_transport	no
M744_RS00665	exact_sequence_unique	gnl|PRJNA209528|M744_00700	unverified_transport	no
M744_RS00670	exact_sequence_unique	gnl|PRJNA209528|M744_00705	unverified_transport	no
M744_RS00675	absent		unverified_transport	no
M744_RS00680	exact_sequence_unique	gnl|PRJNA209528|M744_00715	unverified_transport	no
M744_RS00685	exact_sequence_unique	gnl|PRJNA209528|M744_00720	unverified_transport	no
M744_RS00690	exact_sequence_unique	gnl|PRJNA209528|M744_00725	unverified_transport	no
M744_RS00695	exact_sequence_unique	gnl|PRJNA209528|M744_00730	unverified_transport	no
M744_RS00700	exact_sequence_unique	gnl|PRJNA209528|M744_00735	unverified_transport	no
M744_RS00705	exact_sequence_unique	gnl|PRJNA209528|M744_00740	unverified_transport	no
M744_RS00710	exact_sequence_unique	gnl|PRJNA209528|M744_00745	unverified_transport	no
M744_RS00715	exact_sequence_unique	gnl|PRJNA209528|M744_00750	unverified_transport	no
M744_RS00720	exact_sequence_unique	gnl|PRJNA209528|M744_00755	unverified_transport	no
M744_RS00725	exact_sequence_unique	gnl|PRJNA209528|M744_00760	unverified_transport	no
M744_RS00730	exact_sequence_unique	gnl|PRJNA209528|M744_00765	unverified_transport	no
M744_RS00735	exact_sequence_unique	gnl|PRJNA209528|M744_00770	unverified_transport	no
M744_RS00740	exact_sequence_unique	gnl|PRJNA209528|M744_00775	unverified_transport	no
M744_RS00750	exact_sequence_unique	gnl|PRJNA209528|M744_00785	unverified_transport	no
M744_RS00755	exact_sequence_unique	gnl|PRJNA209528|M744_00790	unverified_transport	no
M744_RS00760	exact_sequence_unique	gnl|PRJNA209528|M744_00795	unverified_transport	no
M744_RS00770	exact_sequence_unique	gnl|PRJNA209528|M744_00805	unverified_transport	no
M744_RS00775	exact_sequence_unique	gnl|PRJNA209528|M744_00810	unverified_transport	no
M744_RS00780	exact_sequence_unique	gnl|PRJNA209528|M744_00815	unverified_transport	no
M744_RS00785	exact_sequence_unique	gnl|PRJNA209528|M744_00820	unverified_transport	no
M744_RS00790	absent		unverified_transport	no
M744_RS00795	exact_sequence_unique	gnl|PRJNA209528|M744_00830	unverified_transport	no
M744_RS00800	exact_sequence_unique	gnl|PRJNA209528|M744_00835	unverified_transport	no
M744_RS00805	exact_sequence_unique	gnl|PRJNA209528|M744_00840	unverified_transport	no
M744_RS00810	exact_sequence_unique	gnl|PRJNA209528|M744_00845	unverified_transport	no
M744_RS00815	exact_sequence_unique	gnl|PRJNA209528|M744_00850	unverified_transport	no
M744_RS00820	absent		unverified_transport	no
M744_RS00825	exact_sequence_unique	gnl|PRJNA209528|M744_00860	unverified_transport	no
M744_RS00830	exact_sequence_unique	gnl|PRJNA209528|M744_00865	unverified_transport	no
M744_RS00835	exact_sequence_unique	gnl|PRJNA209528|M744_00870	unverified_transport	no
M744_RS00840	exact_sequence_unique	gnl|PRJNA209528|M744_00875	unverified_transport	no
M744_RS00845	exact_sequence_unique	gnl|PRJNA209528|M744_00880	unverified_transport	no
M744_RS00850	exact_sequence_unique	gnl|PRJNA209528|M744_00885	unverified_transport	no
M744_RS00855	exact_sequence_unique	gnl|PRJNA209528|M744_00890	unverified_transport	no
M744_RS00860	exact_sequence_unique	gnl|PRJNA209528|M744_00895	unverified_transport	no
M744_RS00865	exact_sequence_unique	gnl|PRJNA209528|M744_00900	unverified_transport	no
M744_RS00875	absent		unverified_transport	no
M744_RS00880	exact_sequence_unique	gnl|PRJNA209528|M744_00915	unverified_transport	no
M744_RS00885	exact_sequence_unique	gnl|PRJNA209528|M744_00920	unverified_transport	no
M744_RS00890	absent		unverified_transport	no
M744_RS00895	exact_sequence_unique	gnl|PRJNA209528|M744_00930	unverified_transport	no
M744_RS00900	exact_sequence_unique	gnl|PRJNA209528|M744_00935	unverified_transport	no
M744_RS00905	exact_sequence_unique	gnl|PRJNA209528|M744_00945	unverified_transport	no
M744_RS00910	exact_sequence_unique	gnl|PRJNA209528|M744_00950	unverified_transport	no
M744_RS00915	exact_sequence_unique	gnl|PRJNA209528|M744_00955	unverified_transport	no
M744_RS00920	absent		unverified_transport	no
M744_RS00925	exact_sequence_unique	gnl|PRJNA209528|M744_00965	unverified_transport	no
M744_RS00930	exact_sequence_unique	gnl|PRJNA209528|M744_00970	unverified_transport	no
M744_RS00935	absent		unverified_transport	no
M744_RS00940	exact_sequence_unique	gnl|PRJNA209528|M744_00980	unverified_transport	no
M744_RS00945	exact_sequence_unique	gnl|PRJNA209528|M744_00985	unverified_transport	no
M744_RS00950	exact_sequence_unique	gnl|PRJNA209528|M744_00990	unverified_transport	no
M744_RS00955	exact_sequence_unique	gnl|PRJNA209528|M744_00995	unverified_transport	no
M744_RS00960	exact_sequence_unique	gnl|PRJNA209528|M744_01000	unverified_transport	no
M744_RS00965	exact_sequence_unique	gnl|PRJNA209528|M744_01005	unverified_transport	no
M744_RS00970	exact_sequence_unique	gnl|PRJNA209528|M744_01010	unverified_transport	no
M744_RS00975	exact_sequence_unique	gnl|PRJNA209528|M744_01015	unverified_transport	no
M744_RS00980	exact_sequence_unique	gnl|PRJNA209528|M744_01020	unverified_transport	no
M744_RS00985	exact_sequence_unique	gnl|PRJNA209528|M744_01025	unverified_transport	no
M744_RS00990	exact_sequence_unique	gnl|PRJNA209528|M744_01030	unverified_transport	no
M744_RS00995	exact_sequence_unique	gnl|PRJNA209528|M744_01035	unverified_transport	no
M744_RS01000	exact_sequence_unique	gnl|PRJNA209528|M744_01040	unverified_transport	no
M744_RS01005	absent		unverified_transport	no
M744_RS01010	exact_sequence_unique	gnl|PRJNA209528|M744_01050	unverified_transport	no
M744_RS01015	exact_sequence_unique	gnl|PRJNA209528|M744_01055	unverified_transport	no
M744_RS01020	exact_sequence_unique	gnl|PRJNA209528|M744_01060	unverified_transport	no
M744_RS01025	exact_sequence_unique	gnl|PRJNA209528|M744_01065	unverified_transport	no
M744_RS01030	exact_sequence_unique	gnl|PRJNA209528|M744_01070	unverified_transport	no
M744_RS01035	absent		unverified_transport	no
M744_RS01040	exact_sequence_unique	gnl|PRJNA209528|M744_01080	unverified_transport	no
M744_RS01045	absent		unverified_transport	no
M744_RS01050	exact_sequence_unique	gnl|PRJNA209528|M744_01090	unverified_transport	no
M744_RS01055	exact_sequence_unique	gnl|PRJNA209528|M744_01095	unverified_transport	no
M744_RS01060	exact_sequence_unique	gnl|PRJNA209528|M744_01100	unverified_transport	no
M744_RS01065	exact_sequence_unique	gnl|PRJNA209528|M744_01105	unverified_transport	no
M744_RS01070	exact_sequence_unique	gnl|PRJNA209528|M744_01110	unverified_transport	no
M744_RS01075	exact_sequence_unique	gnl|PRJNA209528|M744_01115	unverified_transport	no
M744_RS01080	exact_sequence_unique	gnl|PRJNA209528|M744_01120	unverified_transport	no
M744_RS01090	exact_sequence_unique	gnl|PRJNA209528|M744_01130	unverified_transport	no
M744_RS01095	exact_sequence_unique	gnl|PRJNA209528|M744_01135	unverified_transport	no
M744_RS01100	exact_sequence_unique	gnl|PRJNA209528|M744_01140	unverified_transport	no
M744_RS01105	exact_sequence_unique	gnl|PRJNA209528|M744_01145	unverified_transport	no
M744_RS01110	exact_sequence_unique	gnl|PRJNA209528|M744_01155	unverified_transport	no
M744_RS01115	exact_sequence_unique	gnl|PRJNA209528|M744_01160	unverified_transport	no
M744_RS01120	absent		unverified_transport	no
M744_RS01125	exact_sequence_unique	gnl|PRJNA209528|M744_01175	unverified_transport	no
M744_RS01130	exact_sequence_unique	gnl|PRJNA209528|M744_01180	unverified_transport	no
M744_RS01135	exact_sequence_unique	gnl|PRJNA209528|M744_01185	unverified_transport	no
M744_RS01140	exact_sequence_unique	gnl|PRJNA209528|M744_01190	unverified_transport	no
M744_RS01145	exact_sequence_unique	gnl|PRJNA209528|M744_01200	unverified_transport	no
M744_RS01150	exact_sequence_unique	gnl|PRJNA209528|M744_01205	unverified_transport	no
M744_RS01155	exact_sequence_unique	gnl|PRJNA209528|M744_01210	unverified_transport	no
M744_RS01160	exact_sequence_unique	gnl|PRJNA209528|M744_01215	unverified_transport	no
M744_RS01170	exact_sequence_unique	gnl|PRJNA209528|M744_01230	unverified_transport	no
M744_RS01175	exact_sequence_unique	gnl|PRJNA209528|M744_01235	unverified_transport	no
M744_RS01180	exact_sequence_unique	gnl|PRJNA209528|M744_01240	unverified_transport	no
M744_RS01185	absent		unverified_transport	no
M744_RS01190	exact_sequence_unique	gnl|PRJNA209528|M744_01250	unverified_transport	no
M744_RS01195	exact_sequence_unique	gnl|PRJNA209528|M744_01255	unverified_transport	no
M744_RS01200	absent		unverified_transport	no
M744_RS01205	exact_sequence_unique	gnl|PRJNA209528|M744_01265	unverified_transport	no
M744_RS01210	exact_sequence_unique	gnl|PRJNA209528|M744_01270	unverified_transport	no
M744_RS01215	exact_sequence_unique	gnl|PRJNA209528|M744_01280	unverified_transport	no
M744_RS01220	exact_sequence_unique	gnl|PRJNA209528|M744_01285	unverified_transport	no
M744_RS01225	exact_sequence_unique	gnl|PRJNA209528|M744_01290	unverified_transport	no
M744_RS01230	exact_sequence_unique	gnl|PRJNA209528|M744_01295	unverified_transport	no
M744_RS01235	absent		unverified_transport	no
M744_RS01240	exact_sequence_unique	gnl|PRJNA209528|M744_01305	unverified_transport	no
M744_RS01245	exact_sequence_unique	gnl|PRJNA209528|M744_01310	unverified_transport	no
M744_RS01250	exact_sequence_unique	gnl|PRJNA209528|M744_01315	unverified_transport	no
M744_RS01255	exact_sequence_unique	gnl|PRJNA209528|M744_01320	unverified_transport	no
M744_RS01260	exact_sequence_unique	gnl|PRJNA209528|M744_01325	unverified_transport	no
M744_RS01265	exact_sequence_unique	gnl|PRJNA209528|M744_01330	unverified_transport	no
M744_RS01270	exact_sequence_unique	gnl|PRJNA209528|M744_01335	unverified_transport	no
M744_RS01275	exact_sequence_unique	gnl|PRJNA209528|M744_01340	unverified_transport	no
M744_RS01280	exact_sequence_unique	gnl|PRJNA209528|M744_01345	unverified_transport	no
M744_RS01285	exact_sequence_unique	gnl|PRJNA209528|M744_01350	unverified_transport	no
M744_RS01290	exact_sequence_unique	gnl|PRJNA209528|M744_01355	unverified_transport	no
M744_RS01295	exact_sequence_unique	gnl|PRJNA209528|M744_01360	unverified_transport	no
M744_RS01300	absent		unverified_transport	no
M744_RS01305	absent		unverified_transport	no
M744_RS01310	exact_sequence_unique	gnl|PRJNA209528|M744_01375	unverified_transport	no
M744_RS01315	exact_sequence_unique	gnl|PRJNA209528|M744_01380	unverified_transport	no
M744_RS01320	exact_sequence_unique	gnl|PRJNA209528|M744_01385	unverified_transport	no
M744_RS01325	exact_sequence_unique	gnl|PRJNA209528|M744_01390	unverified_transport	no
M744_RS01330	exact_sequence_unique	gnl|PRJNA209528|M744_01395	unverified_transport	no
M744_RS01335	exact_sequence_unique	gnl|PRJNA209528|M744_01400	unverified_transport	no
M744_RS01340	exact_sequence_unique	gnl|PRJNA209528|M744_01405	unverified_transport	no
M744_RS01345	exact_sequence_unique	gnl|PRJNA209528|M744_01410	unverified_transport	no
M744_RS01350	exact_sequence_unique	gnl|PRJNA209528|M744_01415	unverified_transport	no
M744_RS01355	exact_sequence_unique	gnl|PRJNA209528|M744_01420	unverified_transport	no
M744_RS01360	exact_sequence_unique	gnl|PRJNA209528|M744_01425	unverified_transport	no
M744_RS01365	exact_sequence_unique	gnl|PRJNA209528|M744_01430	unverified_transport	no
M744_RS01370	exact_sequence_unique	gnl|PRJNA209528|M744_01435	unverified_transport	no
M744_RS01375	exact_sequence_unique	gnl|PRJNA209528|M744_01440	unverified_transport	no
M744_RS01380	absent		unverified_transport	no
M744_RS01385	exact_sequence_unique	gnl|PRJNA209528|M744_01450	unverified_transport	no
M744_RS01390	exact_sequence_unique	gnl|PRJNA209528|M744_01455	unverified_transport	no
M744_RS01395	exact_sequence_unique	gnl|PRJNA209528|M744_01460	unverified_transport	no
M744_RS01400	exact_sequence_unique	gnl|PRJNA209528|M744_01465	unverified_transport	no
M744_RS01405	exact_sequence_unique	gnl|PRJNA209528|M744_01470	unverified_transport	no
M744_RS01410	exact_sequence_unique	gnl|PRJNA209528|M744_01475	unverified_transport	no
M744_RS01415	exact_sequence_unique	gnl|PRJNA209528|M744_01480	unverified_transport	no
M744_RS01420	exact_sequence_unique	gnl|PRJNA209528|M744_01485	unverified_transport	no
M744_RS01425	exact_sequence_unique	gnl|PRJNA209528|M744_01490	unverified_transport	no
M744_RS01430	exact_sequence_unique	gnl|PRJNA209528|M744_01495	unverified_transport	no
M744_RS01435	exact_sequence_unique	gnl|PRJNA209528|M744_01500	unverified_transport	no
M744_RS01440	exact_sequence_unique	gnl|PRJNA209528|M744_01505	unverified_transport	no
M744_RS01445	exact_sequence_unique	gnl|PRJNA209528|M744_01510	unverified_transport	no
M744_RS01450	exact_sequence_unique	gnl|PRJNA209528|M744_01515	unverified_transport	no
M744_RS01455	exact_sequence_unique	gnl|PRJNA209528|M744_01520	unverified_transport	no
M744_RS01460	absent		unverified_transport	no
M744_RS01465	exact_sequence_unique	gnl|PRJNA209528|M744_01530	unverified_transport	no
M744_RS01470	absent		unverified_transport	no
M744_RS01475	exact_sequence_unique	gnl|PRJNA209528|M744_01540	unverified_transport	no
M744_RS01480	exact_sequence_unique	gnl|PRJNA209528|M744_01545	unverified_transport	no
M744_RS01485	exact_sequence_unique	gnl|PRJNA209528|M744_01550	unverified_transport	no
M744_RS01490	exact_sequence_unique	gnl|PRJNA209528|M744_01555	unverified_transport	no
M744_RS01495	exact_sequence_unique	gnl|PRJNA209528|M744_01560	unverified_transport	no
M744_RS01505	exact_sequence_unique	gnl|PRJNA209528|M744_01570	unverified_transport	no
M744_RS01510	exact_sequence_unique	gnl|PRJNA209528|M744_01575	unverified_transport	no
M744_RS01515	exact_sequence_unique	gnl|PRJNA209528|M744_01580	unverified_transport	no
M744_RS01525	absent		unverified_transport	no
M744_RS01530	exact_sequence_unique	gnl|PRJNA209528|M744_01595	unverified_transport	no
M744_RS01535	exact_sequence_unique	gnl|PRJNA209528|M744_01600	unverified_transport	no
M744_RS01540	exact_sequence_unique	gnl|PRJNA209528|M744_01605	unverified_transport	no
M744_RS01545	exact_sequence_unique	gnl|PRJNA209528|M744_01610	unverified_transport	no
M744_RS01550	exact_sequence_unique	gnl|PRJNA209528|M744_01615	unverified_transport	no
M744_RS01555	exact_sequence_unique	gnl|PRJNA209528|M744_01620	unverified_transport	no
M744_RS01560	exact_sequence_unique	gnl|PRJNA209528|M744_01625	unverified_transport	no
M744_RS01565	exact_sequence_unique	gnl|PRJNA209528|M744_01630	unverified_transport	no
M744_RS01570	exact_sequence_unique	gnl|PRJNA209528|M744_01635	unverified_transport	no
M744_RS01575	exact_sequence_unique	gnl|PRJNA209528|M744_01640	unverified_transport	no
M744_RS01580	exact_sequence_unique	gnl|PRJNA209528|M744_01645	unverified_transport	no
M744_RS01585	exact_sequence_unique	gnl|PRJNA209528|M744_01650	unverified_transport	no
M744_RS01590	exact_sequence_unique	gnl|PRJNA209528|M744_01655	unverified_transport	no
M744_RS01595	exact_sequence_unique	gnl|PRJNA209528|M744_01660	unverified_transport	no
M744_RS01600	exact_sequence_unique	gnl|PRJNA209528|M744_01665	unverified_transport	no
M744_RS01605	exact_sequence_unique	gnl|PRJNA209528|M744_01670	unverified_transport	no
M744_RS01610	exact_sequence_unique	gnl|PRJNA209528|M744_01675	unverified_transport	no
M744_RS01615	absent		unverified_transport	no
M744_RS01620	exact_sequence_unique	gnl|PRJNA209528|M744_01685	unverified_transport	no
M744_RS01625	absent		unverified_transport	no
M744_RS01630	exact_sequence_unique	gnl|PRJNA209528|M744_01700	unverified_transport	no
M744_RS01635	exact_sequence_unique	gnl|PRJNA209528|M744_01705	unverified_transport	no
M744_RS01640	exact_sequence_unique	gnl|PRJNA209528|M744_01710	unverified_transport	no
M744_RS01645	exact_sequence_unique	gnl|PRJNA209528|M744_01715	unverified_transport	no
M744_RS01650	exact_sequence_unique	gnl|PRJNA209528|M744_01720	unverified_transport	no
M744_RS01655	exact_sequence_unique	gnl|PRJNA209528|M744_01725	unverified_transport	no
M744_RS01660	exact_sequence_unique	gnl|PRJNA209528|M744_01730	unverified_transport	no
M744_RS01665	absent		unverified_transport	no
M744_RS01670	exact_sequence_unique	gnl|PRJNA209528|M744_01740	unverified_transport	no
M744_RS01675	exact_sequence_unique	gnl|PRJNA209528|M744_01745	unverified_transport	no
M744_RS01680	exact_sequence_unique	gnl|PRJNA209528|M744_01750	unverified_transport	no
M744_RS01685	exact_sequence_unique	gnl|PRJNA209528|M744_01755	unverified_transport	no
M744_RS01690	absent		unverified_transport	no
M744_RS01695	exact_sequence_unique	gnl|PRJNA209528|M744_01765	unverified_transport	no
M744_RS01700	exact_sequence_unique	gnl|PRJNA209528|M744_01770	unverified_transport	no
M744_RS01705	exact_sequence_unique	gnl|PRJNA209528|M744_01775	unverified_transport	no
M744_RS01710	exact_sequence_unique	gnl|PRJNA209528|M744_01780	unverified_transport	no
M744_RS01715	exact_sequence_unique	gnl|PRJNA209528|M744_01785	unverified_transport	no
M744_RS01720	exact_sequence_unique	gnl|PRJNA209528|M744_01790	unverified_transport	no
