locus_tag	gene_symbol	protein_id	protein_id_locus_count	refseq_protein_record	computed_cds_translation	refseq_protein_sequence	protein_length_aa	protein_sequence_sha256	identity_ambiguity	experimentally_detected	characterized_homolog	tested_variant_evidence	tested_variant_growth_condition
M744_RS00135		WP_011377623.1	1	present	exact	exact	234	e149673d8633403597b5b6993a532b867261830f5e3de6d439c6e2a78393056d	none	unknown	unknown	unknown	unknown
M744_RS00140	hslO	WP_011243275.1	1	present	exact	exact	297	da2536df8469c310e7cdbd0a83338d86bf04ae7fa34ddb9f83ab65a2ba5abce1	none	unknown	unknown	unknown	unknown
M744_RS00145		WP_011243276.1	1	present	exact	exact	204	e1b41eaae3c8265fd2e8e5bc7f9387955be1f99370bde33eb8f9c094f3e2ac84	none	unknown	unknown	unknown	unknown
M744_RS00150		WP_011377622.1	1	present	exact	exact	63	f7f34c98801e5b7b3658036f1440a663715d968dafdc1554749fd67cf204e28e	none	unknown	unknown	unknown	unknown
M744_RS00155		WP_011243277.1	1	present	exact	exact	237	703562c30bcafa413f389feba1d87585af3aafc3c15d379d0f81d8ce50db4013	none	unknown	unknown	unknown	unknown
M744_RS00160		WP_011243278.1	1	present	exact	exact	239	af876b551db6af3b6cee08003373bc5e238df37ef6e7c82b398e01530c809e9e	none	unknown	unknown	unknown	unknown
M744_RS00165	ychF	WP_011243279.1	1	present	exact	exact	363	0a8f5e4ba5d9f4b6a8f768d20cdfcc0c1c4204a77c0d5857806e2829c4ba20e8	none	unknown	unknown	unknown	unknown
M744_RS00170		WP_011377621.1	1	present	exact	exact	450	ad898212900de61f9bba9cbff2a46b4151c0841f0e39af53438ea84359607216	none	unknown	unknown	unknown	unknown
M744_RS00175	wecB	WP_011243281.1	1	present	exact	exact	372	8ca95edb401d551c94b24821931418dafd91c98032e94d1bd45c2d8fb851a5a8	none	unknown	unknown	unknown	unknown
M744_RS00180		WP_011377620.1	1	present	exact	exact	123	810f7c0e4ef1958117ad5b29275b49c4b2467c05db3f4c682f94b218ccb4c83c	none	unknown	unknown	unknown	unknown
M744_RS00185		WP_011377619.1	1	present	exact	exact	127	e0722eead2a8788d6fb4a677e647d4c3698c1e5a4c9f064d8f60608eae6bdba7	none	unknown	unknown	unknown	unknown
M744_RS00190		WP_011377618.1	1	present	exact	exact	253	d43faf1e5fa481c5921121b7527ff4a92ef9c0c432b8d0e0ac23e1d11781b866	none	unknown	unknown	unknown	unknown
M744_RS00195		WP_011243285.1	1	present	exact	exact	386	d0717b48aa29be141b26d0e723db98ce82e669bfed9f97be7287186147a87c98	none	unknown	unknown	unknown	unknown
M744_RS00200		WP_011243286.1	1	present	exact	exact	169	7afd4e4aca32f92cd48fab79cb1c89c4de02adeb2c95c4446dabfa7f8e6e5949	none	unknown	unknown	unknown	unknown
M744_RS00205		WP_011243287.1	1	present	exact	exact	715	4547bb83f76e674b7a1dc56c5467072d05babbb64244a6d84911d091960b3da8	none	unknown	unknown	unknown	unknown
M744_RS00210		WP_011243288.1	1	present	exact	exact	230	4f200d8114eb446691424cfdb319c6913cac775584ad5d9414dbb40662a57320	none	unknown	unknown	unknown	unknown
M744_RS00215		WP_011377617.1	1	present	exact	exact	89	f9baa9394dfb7235ee39fe70cdf06eb0fc897df93bc9bd70394cef3ec8398ff8	none	unknown	unknown	unknown	unknown
M744_RS00220		WP_011377616.1	1	present	exact	exact	187	fa6618079e951f30287554eacfb19ce57e5604d3503903b4200140fd3e562112	none	unknown	unknown	unknown	unknown
M744_RS00225	lipA	WP_011377615.1	1	present	exact	exact	297	d9455075507e6aeefa315f4d7baf412d5b0d51284fb0177c81a838c999a0265b	none	unknown	unknown	unknown	unknown
M744_RS00230		WP_155813891.1	1	present	exact	exact	61	732c899fc99f5dc9c0e148b69ec62e31b2cece1b28dc83cfcc9581bee2099ec3	none	unknown	unknown	unknown	unknown
M744_RS00235		WP_011243292.1	1	present	exact	exact	76	28f71b13cff3d07122410a391eff79084fee81a2657ddd552c0d9cb47e797327	none	unknown	unknown	unknown	unknown
M744_RS00240		WP_231621346.1	1	present	exact	exact	141	27a3fa787928b46aad6108bb7e2e3726dc9777378939dc7220d43555c25749df	none	unknown	unknown	unknown	unknown
M744_RS00245		WP_011243294.1	1	present	exact	exact	249	1b16464ea237d29d0b3e52e3b1990b6b6eb02590ea5f96744d742b0c32f8b440	none	unknown	unknown	unknown	unknown
M744_RS00250	tkt	WP_011243295.1	1	present	exact	exact	668	96aff78fdde8e4b13dd6ef7f97478e6521dc893ad24e07cf161a1de70a2f440b	none	unknown	unknown	unknown	unknown
M744_RS00255	fabF	WP_011243296.1	1	present	exact	exact	417	99e210663b3cc5664378fd2037de30c9c8e79ef002372265383a46ddb30be64e	none	unknown	unknown	unknown	unknown
M744_RS00260	acpP	WP_011243297.1	1	present	exact	exact	80	b305d7c369956188b84de8394c32c8a33ded0083e406986f0875159e86b9cdd8	none	unknown	unknown	unknown	unknown
M744_RS00265	psaC	WP_011243298.1	1	present	exact	exact	81	2a221e806fc0060518e2ea16b6b9cab4c4214da7d087525d61601e8c7e4197b5	none	unknown	unknown	unknown	unknown
M744_RS00270	glmS	WP_011243299.1	1	present	exact	exact	641	fe4ee160d551bb4bf32670ec9a51da05da7b474348ec416414cd92021f0bd94d	none	unknown	unknown	unknown	unknown
M744_RS00275		WP_011243300.1	1	present	exact	exact	78	93d6e430fd7949d5eac753d3ef224f41a0fe4f8c8616aa1cdadbda85e301c927	none	unknown	unknown	unknown	unknown
M744_RS00280		WP_011243301.1	1	present	exact	exact	117	3865ee750fdd6ff4ca060b39769e8f5cd2549d553e7753bb92b8951161fcd31e	none	unknown	unknown	unknown	unknown
M744_RS00285		WP_011377614.1	1	present	exact	exact	287	f65fe55aadbfa470af1279aa6e6b9838529f1c6f4bd606f6c446ffd937c03afa	none	unknown	unknown	unknown	unknown
M744_RS00290	queG	WP_011377613.1	1	present	exact	exact	317	a14b790fb98821df78c387d28be130311bfd3b85d06b29235ec14a37c7cfb0af	none	unknown	unknown	unknown	unknown
M744_RS00295	pgl	WP_011243304.1	1	present	exact	exact	262	5011d0be6287ca312c7a39a0a787210f5bd9bb7953d12ca266445fddd35a1dd0	none	unknown	unknown	unknown	unknown
M744_RS00300		WP_011377612.1	1	present	exact	exact	329	6854dfe5b010808a77304e3ffd422f9d8610bfd5442d0fa6e40eb3cfb2853a0d	none	unknown	unknown	unknown	unknown
M744_RS00305		WP_231621347.1	1	present	exact	exact	269	eeacf621c602f48995b1aad381a6ee08eab3a7beccbb552b59680135e3757f67	none	unknown	unknown	unknown	unknown
M744_RS00310		WP_011377610.1	1	present	exact	exact	293	fa0654cf64ff31389cd509e605fc84e58ab5e18616be620fcfe4ae2646946987	none	unknown	unknown	unknown	unknown
M744_RS00315	aroB	WP_011243308.1	1	present	exact	exact	368	c9bba350c201befeccef784a346986fc11411238b95aff768b96697071945a93	none	unknown	unknown	unknown	unknown
M744_RS00320		WP_011377609.1	1	present	exact	exact	135	11775872851e8e94030ecbc40379d479b3462eec2c197a77f5ee72a1ce695288	none	unknown	unknown	unknown	unknown
M744_RS00325		WP_011243310.1	1	present	exact	exact	129	d541cb0dd04f6c50a64da6f0ec1bd0935e5538c8832db909deee25207615df62	none	unknown	unknown	unknown	unknown
M744_RS00330		WP_155813895.1	1	present	exact	exact	113	162339d6eaad6dd9f7e18f6849b1a89e91ac162b91ad09b20da9cb227ea4e1b1	none	unknown	unknown	unknown	unknown
M744_RS00335		WP_011243311.1	1	present	exact	exact	195	db1ed52f166bafaded86b684a338d6eaed488deb70c952bc640693019359a52b	none	unknown	unknown	unknown	unknown
M744_RS00340	ccmP	WP_011243312.1	1	present	exact	exact	213	cc5fc91c606c5bd24bbb535639b5c1291fe16cce20556e590f9ba7e81524b3fd	none	unknown	unknown	unknown	unknown
M744_RS00345		WP_011377607.1	1	present	exact	exact	172	375892c65928b39c5c11c9fe8319694881fedec3579ab21bf78119efa0edc178	none	unknown	unknown	unknown	unknown
M744_RS00350		WP_011243314.1	1	present	exact	exact	387	164f635d71cf771bcd40fa42b8a82d681aec1a06d5fcc5eacf1fd4ae2bb33663	none	unknown	unknown	unknown	unknown
M744_RS00355	recJ	WP_011243315.1	1	present	exact	exact	775	ded98b5d656ecc62578de30fc840ae718197208f91ba64eb938d8a52e16e5e79	none	unknown	unknown	unknown	unknown
M744_RS00360		WP_011243316.1	1	present	exact	exact	440	d999d3b5fe499a39364f55ce18ea6d4271e74284b44ad87ec08963c4afedb60b	none	unknown	unknown	unknown	unknown
M744_RS00365		WP_011377606.1	1	present	exact	exact	140	67b26b18be09640b42c728f0e1c2abf56fad1532fef4a16dc8b2a315e6b99231	none	unknown	unknown	unknown	unknown
M744_RS00370		WP_011377605.1	1	present	exact	exact	140	5bfbbdea1d0f4aebbf22609d9adcfba74d34730254f307e1a4ace9405990191c	none	unknown	unknown	unknown	unknown
M744_RS00375	lptB	WP_011243319.1	1	present	exact	exact	242	ad92d39e01ea94fdec5fccc2ca6e2cc376222cd7fcffcd8acf0a958a7bc6c055	none	unknown	unknown	unknown	unknown
M744_RS00380		WP_231621348.1	1	present	exact	exact	365	8c79022deac4d3f8ef4ab68608c1c9cc24a0b8499e603f1e7408e715cf559959	none	unknown	unknown	unknown	unknown
M744_RS00385	ccsB	WP_011243321.1	1	present	exact	exact	325	083953797e9af42f566852e38eeb889d8eb4890603a12a6f01f24ba21c2e0341	none	unknown	unknown	unknown	unknown
M744_RS00390		WP_011243322.1	1	present	exact	exact	216	a7dbfd9f086aa73b559076196278a0069fbdc84b55e75b60ca9e8893edf0e0ae	none	unknown	unknown	unknown	unknown
M744_RS00395		WP_011377603.1	1	present	exact	exact	157	b85e05fa3d9c04efdf66eddc83ff979c9ec9e5c74e51955390dd24c940fcfdde	none	unknown	unknown	unknown	unknown
M744_RS00400		WP_011243324.1	1	present	exact	exact	376	fcaa32cab9e068900800481af32605eb7caa7f4c275c439c0253cfe4df93723c	none	unknown	unknown	unknown	unknown
M744_RS00405	frr	WP_011243325.1	1	present	exact	exact	182	33dce1eaa4ed8bc51c9dc646a09ea4c71aedacfe20019de4a3eed8c5af2a0ab7	none	unknown	unknown	unknown	unknown
M744_RS00410	pyrH	WP_039755415.1	1	present	exact	exact	240	1c0bbd61102d120f3c8e04c25ceecfcd2fc2e3a283b72ac465cc7dbf9fe6df16	none	unknown	unknown	unknown	unknown
M744_RS00415	glpX	WP_011243327.1	1	present	exact	exact	345	e5e077eaa8b0af8965f8a12a48ee94131b10bba728c5f9939bc7aac2e284f478	none	unknown	unknown	unknown	unknown
M744_RS00420		WP_011243328.1	1	present	exact	exact	438	72992e09d73c286bb2265abe66344aed705d8d3926ae93f64753f6950831b66d	none	unknown	unknown	unknown	unknown
M744_RS00425		WP_011243329.1	1	present	exact	exact	102	1c97a3301729f535bff2cd8986e2bc123fd175e4b089e48cb5ccc011fd6a4bbd	none	unknown	unknown	unknown	unknown
M744_RS00430		WP_011243330.1	1	present	exact	exact	188	f6080df3470f987aaafd30f38148e9c327764f60b7551e52af89fd2e841df8b6	none	unknown	unknown	unknown	unknown
M744_RS00435		WP_011243331.1	1	present	exact	exact	216	dca5da1fb3febcc4265b7bee307fb94cf9432e7e8d981494e2d18f6b622bfe33	none	unknown	unknown	unknown	unknown
M744_RS00440		WP_011243332.1	1	present	exact	exact	117	1ee75ce8cc7342a8ca29f2722d5d05ca8f21008fb10fdbac30fece49c776f107	none	unknown	unknown	unknown	unknown
M744_RS00445		WP_011377602.1	1	present	exact	exact	331	0c4ee0fbe40622a0e914e738118b3a1527b799bb491f47862f70097d16007ee9	none	unknown	unknown	unknown	unknown
M744_RS00450		WP_011243334.1	1	present	exact	exact	837	89f3bdac82d80e7a73e332f21b8af2e46d5f822a58ee017e4aa78f08bccbcae2	none	unknown	unknown	unknown	unknown
M744_RS00455		WP_011243336.1	1	present	exact	exact	229	f93839a69370288a1fe881aa7321070290ff15a6163d66085e8e77eb75afcc25	none	unknown	unknown	unknown	unknown
M744_RS00460		WP_011377601.1	1	present	exact	exact	178	d26dbb7c09f4d39c07b8fcd31b8184f21bf7c03ab7ad1f77dff30754ed1eb48b	none	unknown	unknown	unknown	unknown
M744_RS00465		WP_011243338.1	1	present	exact	exact	117	7adeecdd465e9bfe90a0fe8e33b980bda465897ecaa11e475628508052329593	none	unknown	unknown	unknown	unknown
M744_RS00470	pap	WP_011377600.1	1	present	exact	exact	494	485f7543b46345b186ab25f3568a98dcefb5b9126a9b4071534e851a6b55dba7	none	unknown	unknown	unknown	unknown
M744_RS00475		WP_011243340.1	1	present	exact	exact	315	d03070cdf8e684b8fa6b64c28c40d160939c9adb2e0afd50758cb7606935335d	none	unknown	unknown	unknown	unknown
M744_RS00485		WP_231621349.1	1	present	exact	exact	674	89a95098c72ff499ccbbee61373944a61ac777597ec580f4113e2a51c1460b2f	none	unknown	unknown	unknown	unknown
M744_RS00490		WP_011243342.1	1	present	exact	exact	459	f73ba7af278cb7b1153adb1ebd2c8cb071ff3b13950168fce1ca9dfe6bced850	none	unknown	unknown	unknown	unknown
M744_RS00495		WP_011243343.1	1	present	exact	exact	442	8273fadc99558323bea480bde287e8ac3425d754bac3b964bc4e70c1cc162a6c	none	unknown	unknown	unknown	unknown
M744_RS00500	lepB	WP_011243344.1	1	present	exact	exact	220	b5b6fdf9eeb2ba48adf1473d5b598ea9439e940763fc204b3a2694266485cb6a	none	unknown	unknown	unknown	unknown
M744_RS00505		WP_011243345.1	1	present	exact	exact	411	9c7ffe6b7cd06e6b36a505b1915fe90cd1428e3c82c569dc3f3aefe46dc70514	none	unknown	unknown	unknown	unknown
M744_RS00510		WP_011377597.1	1	present	exact	exact	445	8423f05c8bbb41f81d57cc78eb202ddf9b2a8a9bc9c460492bb430f873450365	none	unknown	unknown	unknown	unknown
M744_RS00515		WP_231621350.1	1	present	exact	exact	474	580902268ff7d2cd1cbe68bda5177c5df521a91c1c680d42e3a5870a2405ea10	none	unknown	unknown	unknown	unknown
M744_RS00520		WP_011243348.1	1	present	exact	exact	147	a0bd1796d192f977a453961746f544ee55f9bf79bc73eaaf2a6a2b064a03c8c3	none	unknown	unknown	unknown	unknown
M744_RS00525		WP_011243349.1	1	present	exact	exact	589	b686bb27316e6877ee714d3d73becceef6561f638b9c4c98d2a3e99aea70febf	none	unknown	unknown	unknown	unknown
M744_RS00530		WP_011377595.1	1	present	exact	exact	371	256f8f5dd95e544e4f0ba521c8f7869041b801e5d2b9f2b0ce2d06fe8a884912	none	unknown	unknown	unknown	unknown
M744_RS00535	cikB	WP_011377594.1	1	present	exact	exact	577	d7bf076067a196cdb6c51b01012104d929e6807af571a32316cca5c93d95d89f	none	unknown	unknown	unknown	unknown
M744_RS00540	lepA	WP_011377593.1	1	present	exact	exact	604	49a158b4cb84332e5a627787f1c305eaba4cdfe844b7a431ced7d352844495f7	none	unknown	unknown	unknown	unknown
M744_RS00545	lepB	WP_011243353.1	1	present	exact	exact	203	bb90fa7d81149e984445c919b9f09f1cffbc37ccbfbdaab8b22737712b0e4b23	none	unknown	unknown	unknown	unknown
M744_RS00550		WP_011243354.1	1	present	exact	exact	99	f3df546c5fcd35c0defcef00ea56fe520ee77f9be0853d8e0d12a1fd0d457d16	none	unknown	unknown	unknown	unknown
M744_RS00555	clpS	WP_321167215.1	1	present	exact	exact	96	396f7b0b5a17b3192950b774473223bffbb976603d19dc34f9f315a647a356e1	none	unknown	unknown	unknown	unknown
M744_RS00560	petN	WP_011243356.1	1	present	exact	exact	34	4b9260b4d64cfec265f9a8cac3494ce309ecd48745cb1515d981e5ede5293010	none	unknown	unknown	unknown	unknown
M744_RS00565		WP_011377589.1	1	present	exact	exact	368	d740b32c08405fad1d3e0b252e461b99fd8af3a5f904d16d197b37a7a7382236	none	unknown	unknown	unknown	unknown
M744_RS00570	xseB	WP_011243358.1	1	present	exact	exact	74	7ef83c2b8bbe46d49aada577422b8c1ae0cf9c5fe4d52610be98f95fbf23e000	none	unknown	unknown	unknown	unknown
M744_RS00575		WP_011243359.1	1	present	exact	exact	276	7ef31e12ba50195bde3a1ec48b4e0ed8867fbc18efd4709e192e4aa5f2555292	none	unknown	unknown	unknown	unknown
M744_RS00580		WP_011377588.1	1	present	exact	exact	177	5e8ed158cd552cc33719afe4a94e36659268a62109c3f5399707770aef145905	none	unknown	unknown	unknown	unknown
M744_RS00590	gpmI	WP_011243361.1	1	present	exact	exact	532	eec53ba437cb231d6a8d3e05f728082184e0d9a2bedbd693360e5d2dd5947f08	none	unknown	unknown	unknown	unknown
M744_RS00595	secG	WP_011243362.1	1	present	exact	exact	79	2063dc339274bf5b303dd130dd5e3da381bff00498889ea5f2e26d0048f05a41	none	unknown	unknown	unknown	unknown
M744_RS00600		WP_011243363.1	1	present	exact	exact	277	ee636254eda0a5caf222b937cd18d3d5426cc90af0d8e6e92859e399077fb873	none	unknown	unknown	unknown	unknown
M744_RS00605		WP_231621351.1	1	present	exact	exact	706	402f15b41e3ac4c253fe16e5f5cb3f2d6c21898e0b5afea8af9f8dda27820371	none	unknown	unknown	unknown	unknown
M744_RS00610		WP_011243365.1	1	present	exact	exact	241	ac82946f3b662dc25b7743e8b561f72af0d51a08c85d4c6342c8d6329ccf90d8	none	unknown	unknown	unknown	unknown
M744_RS00615		WP_011243366.1	1	present	exact	exact	113	a826bbf3473b77667a51f15ae462096f39cb1df2cd51d0d5bbaf45b3602badb4	none	unknown	unknown	unknown	unknown
M744_RS00620		WP_011377586.1	1	present	exact	exact	163	83c73559379573cdfc77a82d458788d9fc157bf12ea4fe1d35451b2ce99baddf	none	unknown	unknown	unknown	unknown
M744_RS00625		WP_011243368.1	1	present	exact	exact	195	db10363914dc457c3176d3f476c1e866a02ce1c03498a74b02bca1fcfee35087	none	unknown	unknown	unknown	unknown
M744_RS00630		WP_011243369.1	1	present	exact	exact	145	8dc6254770b9e970f3eba69b9281963c7fa6c136f086e52260ba3b61d90653ed	none	unknown	unknown	unknown	unknown
M744_RS00635		WP_011243370.1	1	present	exact	exact	157	166a43b07f7e2decb6f27b569c9052a52eaa631a0fae467150cb32b6c96f17e7	none	unknown	unknown	unknown	unknown
M744_RS00640		WP_011243371.1	1	present	exact	exact	369	899fae0a025e277593238c867abcbf18effd7461c7abe00234f08876d63c9ae8	none	unknown	unknown	unknown	unknown
M744_RS00645	fghA	WP_011243372.1	1	present	exact	exact	278	e663551e05b8a0b9197d4a20c8359376cc7ca390183cb8b326af26b044226b07	none	unknown	unknown	unknown	unknown
M744_RS00650		WP_011243373.1	1	present	exact	exact	205	9b97b8a6bafdbf9bd26d00503434ee1fba37b325958dafa8aa353a492501b4ba	none	unknown	unknown	unknown	unknown
M744_RS00655	tgt	WP_011377585.1	1	present	exact	exact	384	e8945d60075ca8ea1ff7d21e35af4ca68508a636892a258ca5b977996564f792	none	unknown	unknown	unknown	unknown
M744_RS00660	cobS	WP_011243375.1	1	present	exact	exact	251	0b580df5e06f2f67ce5306e22d35ee76362da8040b421d7938da6d72bdc21902	none	unknown	unknown	unknown	unknown
M744_RS00665		WP_011377584.1	1	present	exact	exact	404	85a7db5e11d7b67be8f945e4d5ff0ce5fc937a6b0b8e654d46a9c559b7c62113	none	unknown	unknown	unknown	unknown
M744_RS00670		WP_039755863.1	1	present	exact	exact	109	a3e6660a902f80f6aa8fb991f947154e7a97e7ea089d56dffafd95e163167177	none	unknown	unknown	unknown	unknown
M744_RS00675		WP_231621352.1	1	present	exact	exact	212	0fa7f07c7fbc4bc29d08938e5d44ecf07e0c6e30e2eb6d7fcd4e9986a4ac103c	none	unknown	unknown	unknown	unknown
M744_RS00680		WP_011243379.1	1	present	exact	exact	81	25cd9e7a6e2894b1e022f036ab79f6451e893e9199827678aa7f23c34ca9477b	none	unknown	unknown	unknown	unknown
M744_RS00685	serS	WP_011243380.1	1	present	exact	exact	428	eab440e46b794e109034026ce87964f3c1137e41e155d85efdae8afb374c0a80	none	unknown	unknown	unknown	unknown
M744_RS00690	rseP	WP_011243381.1	1	present	exact	exact	364	408521a39e5d2477dfb8515d7c1919bae5b00796a386331581ba492fe5bfad48	none	unknown	unknown	unknown	unknown
M744_RS00695	nth	WP_011243382.1	1	present	exact	exact	228	716cc56952ce5ebb7f487300a54e3915c3792f86c711c6c6472f90b0052e57a4	none	unknown	unknown	unknown	unknown
M744_RS00700	rpsN	WP_011243383.1	1	present	exact	exact	100	13ee01300de7f7380c870ca825fba6e65e96355722d68c68b694297b8c399895	none	unknown	unknown	unknown	unknown
M744_RS00705		WP_011243384.1	1	present	exact	exact	351	fcead424f72936ed56c2c456b61b2975d99e4d79c7a3d91405930e0a12ed4f9d	none	unknown	unknown	unknown	unknown
M744_RS00710		WP_011243385.1	1	present	exact	exact	227	addc8e69869b5c5600f9e73c044b7a8499aeccabbee48e8ca0ea8c4a94023550	none	unknown	unknown	unknown	unknown
M744_RS00715		WP_011243386.1	1	present	exact	exact	413	f115c331637f8ae245ef8fa3737df89f595471d68ccb76e68379d55a5515dc70	none	unknown	unknown	unknown	unknown
M744_RS00720		WP_011377582.1	1	present	exact	exact	497	a6df2caac06aee4e00d63c057f547006d31312c9d6d00ee181d6f33bae8fda0b	none	unknown	unknown	unknown	unknown
M744_RS00725	purE	WP_049749323.1	1	present	exact	exact	187	4ad4551eb7de8529d66a5af9a3a4c416d55f8c6f09b9f6ad766d3f199e5c3156	none	unknown	unknown	unknown	unknown
M744_RS00730	nagA	WP_039755439.1	1	present	exact	exact	404	b5a84f25a4bdf2654edb31600cbc0456bada629211d2c235d20be0884bddc267	none	unknown	unknown	unknown	unknown
M744_RS00735	bchM	WP_011243390.1	1	present	exact	exact	229	2c74c2072cf622837916a976d8f0bac5934c00a10a47d26089571e59c8508fb9	none	unknown	unknown	unknown	unknown
M744_RS00740		WP_011377579.1	1	present	exact	exact	188	8e6553a95007b11c6cb9fb57f06d6ba9e847f607526d407675f55c96a76d2e42	none	unknown	unknown	unknown	unknown
M744_RS00750		WP_011243392.1	1	present	exact	exact	101	6197c34b2fbca93fd50c3eb02fcd480b628a5f99fb232569dc4186297c7b37e9	none	unknown	unknown	unknown	unknown
M744_RS00755		WP_011243393.1	1	present	exact	exact	251	15611a0a4cb5a5dacd5929ab1334829bee9824af8aeaf63272a68ef34eb147e8	none	unknown	unknown	unknown	unknown
M744_RS00760		WP_011243394.1	1	present	exact	exact	335	650392b17934afa27423b69b14ef02ce354958d2cd656f533792cabb9c3de998	none	unknown	unknown	unknown	unknown
M744_RS00770		WP_011377578.1	1	present	exact	exact	402	46421db9dc7d85856ed9a0713b635db1f09724300e9b242d9fa249e98e635190	none	unknown	unknown	unknown	unknown
M744_RS00775		WP_011243396.1	1	present	exact	exact	232	51cc0b04e89ca350f1cd3732a727837c16d161e570f03f56ed4ce1541d36148f	none	unknown	unknown	unknown	unknown
M744_RS00780		WP_011243397.1	1	present	exact	exact	417	108b2b998bc72b27b91e426ce340c2695b2591979f2f00cda1378ef0d41b5a77	none	unknown	unknown	unknown	unknown
