tss_id	comparison	source_selection_min_abs_log2fc	strand	atss_position	atss_log2fc	potential_target_locus	potential_target_symbol	gtss_position	gtss_log2fc	source_product
aTSS-285179	dark	1.5	-	285179	4.84375762099038	M744_RS01515	glmU	284330	-5.11987372814834	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
aTSS-766140	dark	1.5	-	766140	4.62110247250394	M744_RS03985	ycf39	765791	-3.28826384539265	3-beta hydroxysteroid dehydrogenase
aTSS+2353795	dark	1.5	+	2353795	4.58329098553732	M744_RS11645		2354728	-2.47531155141669	hydrolase
aTSS-1364477	dark	1.5	-	1364477	4.5461334114657	M744_RS07005	guaB, gnaB	1363425	-2.09511436745028	guanosine monophosphate reductase
aTSS-977716	dark	1.5	-	977716	4.49316999484592	M744_RS05085	rpl17	977032	-5.63711915804229	50S ribosomal protein L17
aTSS+728290	dark	1.5	+	728290	4.36496617750327	M744_RS03810	glyQ	729025	-3.09509675454235	glycine--tRNA ligase subunit alpha
aTSS-291333	dark	1.5	-	291333	4.31657253271706	M744_RS01555	cinA	291159	-1.74794596767361	cinA-like protein
aTSS+2506350	dark	1.5	+	2506350	4.28267919786186	M744_RS13825		2506900	-3.0725783948409	hypothetical protein
aTSS+38705	dark	1.5	+	38705	4.23678853127973	M744_RS00205	nhaS4	40482	-1.83772712691697	sodium:proton antiporter
aTSS-217763	dark	1.5	-	217763	4.2165230930982	M744_RS01160		217039	-2.10000318472553	putative bicarbonate transporter, IctB family
aTSS-2655640	dark	1.5	-	2655640	4.17539405061724	M744_RS13130	gltA	2655355	-2.92003069032235	citrate synthase
aTSS+1400247	dark	1.5	+	1400247	4.17213409092278	M744_RS07190	hemB	1401197	-2.07676316541989	delta-aminolevulinic acid dehydratase
aTSS+2203841	dark	1.5	+	2203841	4.14447414805283	M744_RS10920	cpcB2	2204249	-5.98901891000987	phycocyanin subunit beta
aTSS+1400610	dark	1.5	+	1400610	4.11088298395157	M744_RS07190	hemB	1401197	-2.07676316541989	delta-aminolevulinic acid dehydratase
aTSS-588562	dark	1.5	-	588562	4.03005763417258	M744_RS03090	umpS, pyrE	588290	-4.25762510460119	orotate phosphoribosyltransferase
aTSS+1021367	dark	1.5	+	1021367	3.95307787173015	M744_RS05325	spt, agt	1021798	-2.09113615928825	alanine--glyoxylate aminotransferase
aTSS-506047	dark	1.5	-	506047	3.85860408341822	M744_RS02675	rfbG	505606	-2.62111900551927	CDP-glucose 4,6-dehydratase
aTSS-2571320	dark	1.5	-	2571320	3.79025152353297	M744_RS12700	rps1	2570579	-2.29136948447935	30S ribosomal protein S1
aTSS-1843310	dark	1.5	-	1843310	3.71939512538653	M744_RS09250		1843290	-2.08827474824077	hypothetical protein
aTSS-2266395	dark	1.5	-	2266395	3.6875706788834	M744_RS11205	cobP	2265074	-2.83367667217749	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase
aTSS+749531	dark	1.5	+	749531	3.63015069735031	M744_RS03910	crtR, bhy	750332	-1.57189855924726	beta-carotene hydroxylase
aTSS-1465017	dark	1.5	-	1465017	3.61267170891149	M744_RS07510	lspA	1464833	-1.50518090769836	signal peptidase II
aTSS-1442184	dark	1.5	-	1442184	3.37110087440642	M744_RS07375		1442011	-3.00670391822068	GNAT family N-acetyltransferase
aTSS-732921	dark	1.5	-	732921	3.36439400901802	M744_RS03835	pilM	732484	-2.69632402735347	pilus assembly protein PilM
aTSS-551687	dark	1.5	-	551687	3.34273239893201	M744_RS02885	glyS	549911	-3.45905212310612	glycine--tRNA ligase subunit beta
aTSS+2448817	dark	1.5	+	2448817	3.31870473845724	M744_RS12045	ddpA	2450044	-2.77119837597781	peptide ABC transporter substrate-binding protein
aTSS-1364253	dark	1.5	-	1364253	3.300558068074	M744_RS07005	guaB, gnaB	1363425	-2.09511436745028	guanosine monophosphate reductase
aTSS+818675	dark	1.5	+	818675	3.12799691907745	M744_RS04220	ftsZ	819168	-2.93115265806946	cell division protein FtsZ
aTSS+265743	dark	1.5	+	265743	3.11184345179859	M744_RS01435		266749	-1.8483756030316	potassium channel protein
aTSS-335141	dark	1.5	-	335141	3.0944094591739	M744_RS01770		333867	-2.90325161125327	hypothetical protein
aTSS+1233043	dark	1.5	+	1233043	3.03116774284202	M744_RS06350	proS	1234158	-3.1585645482928	proline--tRNA ligase
aTSS+2413735	dark	1.5	+	2413735	2.89107482268637	M744_RS11885		2414287	-2.18599496090122	hypothetical protein
aTSS-270100	dark	1.5	-	270100	2.80722833640707	M744_RS01455		269551	-1.52959103236768	rod shape-determining protein MreC
aTSS-1796601	dark	1.5	-	1796601	2.63673516726493	M744_RS09060	ndhB	1796310	-4.01697572954156	NAD(P)H-quinone oxidoreductase subunit 2
aTSS+1590407	dark	1.5	+	1590407	2.56040848351848	M744_RS08105		1590931	-3.99638660384281	hypothetical protein
aTSS+2444895	dark	1.5	+	2444895	2.48951215939961	M744_RS12030		2446569	-1.84365011662914	hypothetical protein
aTSS+521597	dark	1.5	+	521597	2.36733419287353	M744_RS02745		522207	-3.51762415091022	hypothetical protein
aTSS-2255758	dark	1.5	-	2255758	2.35652128942908	M744_RS11155		2252829	-4.80422755624562	type I secretion C-terminal target domain-containing protein
aTSS-2630884	dark	1.5	-	2630884	2.27212987674219	M744_RS13000	clpB	2628755	-1.56315752740896	chaperone protein ClpB
aTSS-2243346	dark	1.5	-	2243346	1.79035854089024	M744_RS11110	purU	2243152	-3.33920938595188	formyltetrahydrofolate deformylase
aTSS+709259	dark	1.5	+	709259	1.65491080998335	M744_RS03720		709274	-2.84872553764127	guanylate cyclase
aTSS-1390938	dark	1.5	-	1390938	-5.60783871053489	M744_RS07135		1390632	2.77681790674865	transcriptional repressor
aTSS-320358	dark	1.5	-	320358	-4.78047469754605	M744_RS01695	cp12	319690	6.89818092927419	hypothetical protein
aTSS-1447659	dark	1.5	-	1447659	-3.76094081310662	M744_RS07410	rpoD2, sigB	1446742	5.74036928350418	RNA polymerase sigma factor SigA2
aTSS-895901	dark	1.5	-	895901	-3.23773576467321	M744_RS04630	tal	895728	2.11449949672398	transaldolase
aTSS-1548217	dark	1.5	-	1548217	-2.97899970280365	M744_RS07890		1547801	3.11410722193102	transcriptional repressor
aTSS-661002	dark	1.5	-	661002	-2.77768301649946	M744_RS03490	gpsA	660163	2.49775230393536	hypothetical protein
aTSS-2146857	dark	1.5	-	2146857	-2.64664401633772	M744_RS10650	dnaA	2145480	1.66931618909441	chromosomal replication initiation protein DnaA
aTSS-1322578	dark	1.5	-	1322578	-2.55450438972753	M744_RS06800		1321488	1.88225291567496	HlyD family secretion protein
aTSS-2669064	dark	1.5	-	2669064	-2.51351895850152	M744_RS13185		2668509	4.10462791532462	serine/threonine protein kinase
aTSS-483624	dark	1.5	-	483624	-2.37997803634244	M744_RS02555	glgX	483213	4.41305256504006	glycogen debranching enzyme
aTSS-248051	dark	1.5	-	248051	-2.36516166899479	M744_RS01335	ccdA	247534	2.18644846896364	cytochrome C biogenesis protein CcdA
aTSS+1762444	dark	1.5	+	1762444	-2.27622362964618	M744_RS08885	nadA	1763149	3.26815374036515	quinolinate synthase
aTSS+318498	dark	1.5	+	318498	-2.11623101251862	M744_RS01685	gyrA	319571	3.3863438956193	DNA gyrase subunit A
aTSS-1265697	dark	1.5	-	1265697	-2.10333801234093	M744_RS06535		1265277	3.82173722948909	hypothetical protein
aTSS-931785	dark	1.5	-	931785	-1.88657977206418	M744_RS04800		931516	2.35585847161117	helix-turn-helix transcriptional regulator
aTSS+1549885	dark	1.5	+	1549885	-1.85627780458508	M744_RS07900		1550185	4.88643995287137	hypothetical protein
aTSS-909546	dark	1.5	-	909546	-1.83103867101067	M744_RS04690	gldA	908557	3.30288599632523	oxidoreductase
aTSS+427910	dark	1.5	+	427910	-1.72099019726614	M744_RS02275	ilvB	428221	2.75925293911909	acetolactate synthase
aTSS+2594800	dark	1.5	+	2594800	-1.7038075584716	M744_RS12850		2594873	3.96888832631185	hypothetical protein
aTSS+2040131	dark	1.5	+	2040131	-1.65741231436686	M744_RS10165		2040770	3.38226761448908	hypothetical protein
aTSS+316917	dark	1.5	+	316917	-1.57200060983188	M744_RS01685	gyrA	319571	3.3863438956193	DNA gyrase subunit A
aTSS+2617783	dark	1.5	+	2617783	-1.54827376553507	M744_RS12955		2618112	1.63554681734786	hypothetical protein
aTSS-576434	dark	1.5	-	576434	-1.54557578348806	M744_RS03020		576174	1.97531748902527	hypothetical protein
aTSS+103848	high_light	1.5	+	103848	3.35770886000062	M744_RS00535		104461	-1.91459697838523	ATPase
aTSS-1704790	high_light	1.5	-	1704790	-3.13764504637691	M744_RS08605		1704594	1.81044019512271	aldehyde oxygenase (deformylating)
aTSS+822633	high_light	1.5	+	822633	-2.86700912133852	M744_RS04240		823057	1.81015465060081	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
aTSS+658955	high_light	1.5	+	658955	-2.81642630559618	M744_RS03475	tig	659087	4.12633964367888	trigger factor
aTSS+240568	high_light	1.5	+	240568	-2.8147959641072	M744_RS01300	atp1	240948	3.11168417283938	ATP synthase subunit I
aTSS-2255041	high_light	1.5	-	2255041	-2.81295655897131	M744_RS11155		2252829	3.91959554349838	type I secretion C-terminal target domain-containing protein
aTSS+1755836	high_light	1.5	+	1755836	-2.51036067391297	M744_RS08850	fabH	1756096	3.1576540514965	3-oxoacyl-ACP synthase III
aTSS+239410	high_light	1.5	+	239410	-2.49567769103017	M744_RS01290	atpH	240077	1.75929339374285	ATP synthase subunit C
aTSS-1962913	high_light	1.5	-	1962913	-2.47724294836403	M744_RS09745	rpl35	1962676	2.87328303187024	50S ribosomal protein L35
aTSS-776192	high_light	1.5	-	776192	-2.39404971360119	M744_RS04035	lysS	776076	1.64148383370539	lysine--tRNA ligase
aTSS-551687	high_light	1.5	-	551687	-2.38619638141883	M744_RS02885	glyS	549911	3.50159783391945	glycine--tRNA ligase subunit beta
aTSS+211884	high_light	1.5	+	211884	-2.23749234636289	M744_RS01125		212500	2.41776882462303	phycobiliprotein lyase
aTSS-1237172	high_light	1.5	-	1237172	-2.05232031050743	M744_RS06370	pyrG	1236614	3.50222902939407	CTP synthetase
aTSS-1378115	high_light	1.5	-	1378115	-1.77872031871766	M744_RS07090	htpG	1378092	1.5869294213111	molecular chaperone HtpG
aTSS+381141	high_light	1.5	+	381141	-1.75196357401906	M744_RS02025		382677	3.01795579261793	sensor domain-containing phosphodiesterase
aTSS+1922634	high_light	1.5	+	1922634	-1.71385905995041	M744_RS09575	aspS	1923851	4.39348837605196	aspartate--tRNA ligase
aTSS+2672940	high_light	1.5	+	2672940	-1.69657047587396	M744_RS13200		2673062	1.70199676590423	peptidoglycan-binding protein LysM
aTSS-2571320	high_light	1.5	-	2571320	-1.61274154317127	M744_RS12700	rps1	2570579	3.74091022613818	30S ribosomal protein S1
aTSS-673080	high_light	1.5	-	673080	-1.56656490186543	M744_RS03545		672036	2.56023598440116	30S ribosomal protein S12 methylthiotransferase RimO
aTSS-778528	high_light	1.5	-	778528	-1.53017750843488	M744_RS04040		777799	1.81150106317606	methyltransferase
aTSS+818675	high_light	1.5	+	818675	-1.52255689323658	M744_RS04220	ftsZ	819168	1.62047997999012	cell division protein FtsZ
aTSS-1823160	high_temperature	1.0	-	1823160	1.35411021085009	M744_RS09175		1822312	-2.45097131260484	alkaline phosphatase
aTSS+1411168	high_temperature	1.0	+	1411168	-1.47950706360126	M744_RS07230	sigF2	1412011	1.25597804029615	RNA polymerase sigma factor SigF
aTSS+211884	high_temperature	1.0	+	211884	1.13084537823857	M744_RS01125		212500	-2.04477102965618	phycobiliprotein lyase
