tss_id	replicon	type	strand	position	locus_tag	source_start_distance_nt	control_1	control_2	dark_1	dark_2	high_light_1	high_light_2	high_temperature_1	high_temperature_2	dark_log2fc	dark_padj	high_light_log2fc	high_light_padj	high_temperature_log2fc	high_temperature_padj
gTSS+1221606	CP006471	gTSS	+	1221606	M744_RS06295	643	933	1002	78	213	526	881	812	302	-0.786225193003748	0.00981873346642499	0.562141972211253	0.0682402287729375	-0.365117438148734	0.359940114172096
gTSS+2549104	CP006471	gTSS	+	2549104	M744_RS12600	202	1270	2271	731	1533	310	402	861	495	1.32223675668822	5.37109737517889e-06	-1.27325862876706	2.4983538042024e-05	-0.846810059594098	0.0157244513894283
gTSS-837819	CP006471	gTSS	-	837819	M744_RS04315	164	662	537	51	56	473	569	395	195	-1.44205824322117	8.28153576998871e-07	0.846814528629975	0.00165582517962847	-0.522861847870337	0.118277011104603
gTSS+2549209	CP006471	gTSS	+	2549209	M744_RS12600	97	724	603	107	163	395	570	837	334	-0.282578853232774	0.291546075421934	0.575366514302725	0.0256674839934414	0.269226163597353	0.433297819220223
gTSS+1049429	CP006471	gTSS	+	1049429	M744_RS05470	341	527	349	116	193	39	45	799	349	0.501085681199388	0.0952569885426914	-2.33202285067399	1.09483525050115e-12	0.861534058562865	0.0113077995122258
gTSS+1712743	CP006471	gTSS	+	1712743	M744_RS08650	33	1478	1350	18	27	726	1002	767	517	-3.95803831118201	3.25757618502325e-33	0.327186892020078	0.233506564048898	-0.559203746150096	0.0757048377559053
gTSS+1492412	CP006471	gTSS	+	1492412	M744_RS07630	37	643	781	200	265	719	927	724	283	0.416051871227649	0.0959511463448261	1.25156595814379	2.26545518201463e-07	-0.0554744037022654	0.890691114089014
gTSS-136982	CP006471	gTSS	-	136982	M744_RS00720	102	21927	15806	21	20	10792	10764	8905	7651	-7.79962675574511	4.72397889072717e-100	0.258136780671588	0.434366060147481	-0.537265809895439	0.155272289353463
gTSS-137206	CP006471	gTSS	-	137206	M744_RS00720	326	1717	2147	195	272	1822	2339	2162	848	-1.02460205049057	8.8598845796374e-06	1.14959511863874	3.49214268720289e-07	0.0823214593108883	0.821119612892424
gTSS-916902	CP006471	gTSS	-	916902	M744_RS04720	38	917	1004	15	31	186	169	595	387	-3.38898207187476	2.30620971008875e-21	-1.36719813167654	6.19511136275638e-06	-0.39789632993257	0.305817831454058
gTSS+244709	CP006471	gTSS	+	244709	M744_RS01315	214	37539	24080	1063	1782	3842	4276	13520	10938	-2.43541051437232	3.53124998088536e-18	-1.86730732049443	6.56440803723413e-11	-0.697518040423279	0.0436672977099884
gTSS+244363	CP006471	gTSS	+	244363	M744_RS01315	560	699	494	88	145	260	288	875	482	-0.349977609445631	0.229354611994217	-0.0665616978724596	0.83833994829586	0.715158670242706	0.0270040131597581
gTSS-1023505	CP006471	gTSS	-	1023505	M744_RS05335	147	315	497	2	8	1574	2200	48	36	-4.34781716494287	2.61723441336313e-15	3.25156841740582	4.27497168801187e-29	-2.71164691369777	1.52711387927615e-14
gTSS-1023422	CP006471	gTSS	-	1023422	M744_RS05335	64	2829	1884	56	76	555	706	1491	896	-3.13149036026054	2.647167203607e-28	-0.856616830316909	0.00147579900329986	-0.428227262668582	0.203680300588322
gTSS+245708	CP006471	gTSS	+	245708	M744_RS01325	334	1286	1233	122	199	386	362	1238	651	-0.96599488820589	0.000128088567794237	-0.68392703034555	0.00701690254848011	0.101562179643415	0.79271646706896
gTSS+332971	CP006471	gTSS	+	332971	M744_RS01760	25	42316	31768	2042	2792	6824	9194	36135	17720	-1.90769684707413	3.76845386164164e-20	-1.16921099570864	3.97744239822004e-08	0.040308434915181	0.913430589772353
gTSS+242321	CP006471	gTSS	+	242321	M744_RS01310	119	4916	3639	240	329	433	597	2565	1511	-1.88193861494825	4.22781099045131e-15	-2.01527998858013	4.38295515461483e-17	-0.521409018366191	0.0743957545043636
gTSS-2448540	CP006471	gTSS	-	2448540	M744_RS12040	84	717	688	14	30	112	139	881	379	-3.00020712985709	5.36788050954105e-19	-1.43877760456311	1.94067646614582e-07	0.309591871839623	0.384840817359358
gTSS+731380	CP006471	gTSS	+	731380	M744_RS03830	3	812	611	167	231	159	167	652	429	0.18890068037904	0.526856506532735	-1.06712495796418	0.000279030702616878	0.177709698920953	0.671784408658739
gTSS-1777512	CP006471	gTSS	-	1777512	M744_RS08970	29	2219	2808	87	118	2889	3829	1436	756	-2.5909839950158	1.56213590398764e-27	1.45837883446694	4.34034485194679e-11	-0.681235818708461	0.00940597998657939
gTSS-2314271	CP006471	gTSS	-	2314271	M744_RS11435	44	16171	13811	1639	2474	6657	9195	14509	6629	-0.850298558973467	1.1172412333735e-05	0.118344135498536	0.594614666646713	-0.0227938458731817	0.947951020557069
gTSS-671015	CP006471	gTSS	-	671015	M744_RS03530	22	1015	845	65	125	1999	2868	643	405	-1.29990707086687	9.0362410195901e-07	2.42248191239839	1.79232295214692e-23	-0.266248819085531	0.441299976896689
gTSS-559392	CP006471	gTSS	-	559392	M744_RS02935	26	4756	3270	236	354	8530	12086	3954	1757	-1.74889900645788	4.50330991556947e-14	2.39728801213392	2.55375481385446e-26	-0.0158630477465907	0.969848446211895
gTSS-707541	CP006471	gTSS	-	707541	M744_RS03715	23	311	258	31	38	756	1208	264	102	-1.01274750965804	0.00162288662695339	2.81353518937918	4.76528314603259e-26	-0.189336676935965	0.646955879964829
gTSS-708231	CP006471	gTSS	-	708231	M744_RS03715	713	338	273	361	571	64	59	417	226	2.61847764369736	3.41542836767448e-24	-1.25015899990298	2.51629720928065e-05	0.59610308807467	0.0686368752993541
gTSS-707827	CP006471	gTSS	-	707827	M744_RS03715	309	349	239	33	50	297	382	253	97	-0.808833727472196	0.0185922513326247	1.2520324494337	5.36935250011513e-05	-0.30361088657237	0.491489236524481
gTSS+1294549	CP006471	gTSS	+	1294549	M744_RS06670	16	208	145	7	4	299	532	97	90	-2.9515662402437	4.18213172896649e-07	2.25355263388812	7.73304160778563e-09	-0.270497698687491	0.646955879964829
gTSS-331480	CP006471	gTSS	-	331480	M744_RS01750	78	479	475	63	84	320	431	531	208	-0.671006682930871	0.0177156913852302	0.694671013699691	0.00952466621391729	0.0778188535804695	0.855634355669721
gTSS-1686685	CP006471	gTSS	-	1686685	M744_RS08525	30	601	451	12	17	1177	2170	465	210	-3.16220085801126	9.44276808471537e-17	2.68457940556937	1.42794583911605e-23	-0.16055941740472	0.702835843528279
gTSS+339032	CP006471	gTSS	+	339032	M744_RS01800	21	577	349	19	17	1131	1364	299	158	-2.63834489733017	1.50793043247114e-12	2.48005721469627	5.51415158662398e-18	-0.501934682846915	0.187024054783843
gTSS-353885	CP006471	gTSS	-	353885	M744_RS01905	18	682	604	84	131	1576	2257	457	268	-0.568421503003066	0.0251429414219093	2.6103621969733	4.36031909678983e-30	-0.286166036090936	0.377025976105581
gTSS+715770	CP006471	gTSS	+	715770	M744_RS03750	21	507	511	42	58	591	844	355	146	-1.32540741133623	3.03297273095003e-06	1.53024605241315	7.2767288473679e-10	-0.563967678351246	0.0715734101400033
gTSS-682334	CP006471	gTSS	-	682334	M744_RS03600	39	3811	4665	1124	1698	2463	3684	4275	1788	0.427633904090808	0.048832997089646	0.566641213587384	0.010609220396482	-0.0253647653477102	0.947440624980501
gTSS+1273039	CP006471	gTSS	+	1273039	M744_RS06570	23	2405	1874	107	176	1470	2065	1753	948	-1.91198609614771	1.09146626951482e-15	0.761226693734889	0.00107612849717271	-0.138820534866868	0.68572528197909
gTSS+1348388	CP006471	gTSS	+	1348388	M744_RS06920	242	3645	4806	3106	4370	3934	6750	5734	2097	1.84754840519177	1.24580662798711e-14	1.35678883746615	3.43765593047354e-08	0.314209514266441	0.338906661247486
gTSS+1348364	CP006471	gTSS	+	1348364	M744_RS06920	266	1487	1105	48	55	1082	1665	913	538	-2.61317561476784	2.02323785590651e-19	1.11328500053758	2.15336181362939e-05	-0.290498102072429	0.418963962464207
gTSS+1348478	CP006471	gTSS	+	1348478	M744_RS06920	152	249	174	15	25	387	594	205	114	-1.39260443667188	0.000273651863913916	2.24382215305457	2.08237135677761e-13	0.119831807281891	0.8128317117945
gTSS+1348538	CP006471	gTSS	+	1348538	M744_RS06920	92	363	537	34	56	188	332	278	186	-1.31646132899051	0.000255843585703537	0.226507536356068	0.547952880935276	-0.3825414219591	0.404404887917378
gTSS-2440598	CP006471	gTSS	-	2440598	M744_RS12000	20	3108	2479	114	192	6913	9019	1803	985	-2.18660928383376	4.22687151236843e-22	2.55454586601371	1.83878076003362e-33	-0.475425375830906	0.0742073453651817
gTSS-2440914	CP006471	gTSS	-	2440914	M744_RS12000	336	1640	1642	202	249	511	682	1727	770	-0.823838701801368	0.000270677270301483	-0.419519398115945	0.070859278341224	0.0807103065031861	0.819642879758134
gTSS-639288	CP006471	gTSS	-	639288	M744_RS03360	36	5134	2611	317	464	4476	6502	5031	2139	-1.28859538547309	5.472051858768e-06	1.53836698379261	6.10288380072167e-08	0.353255372363366	0.355428796718762
gTSS-1923851	CP006471	gTSS	-	1923851	M744_RS09575	19	506	251	3	0	3237	4508	154	115	-5.93955015316346	4.71791777261383e-11	4.39348837605196	3.23336094693525e-43	-0.896019660240466	0.0263258686527287
gTSS-1923859	CP006471	gTSS	-	1923859	M744_RS09575	27	745	465	7	7	2614	3826	386	244	-4.40564729414305	2.21490378489663e-20	3.4459150636778	2.42519225323962e-36	-0.380012928756399	0.314737347889413
gTSS-240948	CP006471	gTSS	-	240948	M744_RS01300	85	7563	5705	28	45	24135	31532	2674	1588	-5.49396108959793	7.18505726206871e-86	3.11168417283938	4.32070589265159e-44	-1.08810505214652	1.96353517307526e-05
gTSS-880670	CP006471	gTSS	-	880670	M744_RS04535	62	22060	14380	111	188	27843	36929	7315	4988	-4.92639760028584	1.85239999539193e-76	1.87183257640431	5.04494794765616e-13	-0.977547717337868	0.00101583733493374
gTSS-880860	CP006471	gTSS	-	880860	M744_RS04535	252	469	533	183	291	145	192	253	157	0.928137013107707	0.000552674067972578	-0.531003187042555	0.0648743904929967	-0.738421327622274	0.0231635541190628
gTSS-879352	CP006471	gTSS	-	879352	M744_RS04530	269	5177	5522	864	1584	7817	9669	5396	2608	-0.139726849149129	0.507926461074648	1.75508689685319	1.14113513141076e-18	0.0766631518510345	0.812141768256572
gTSS-879920	CP006471	gTSS	-	879920	M744_RS04530	837	301	297	22	38	370	390	217	120	-1.31154192958577	0.000111991359263153	1.40495401077227	1.14977234096089e-06	-0.303186115111116	0.460267483417111
gTSS-238850	CP006471	gTSS	-	238850	M744_RS01280	276	3189	4084	4276	7900	1836	2655	3077	1473	2.72873897185322	1.20491836519563e-36	0.337319554261225	0.154060978426546	-0.184431572155314	0.566337359199991
gTSS-238574	CP006471	gTSS	-	238574	M744_RS01280	0	283	281	715	1157	91	81	472	181	3.73616835901256	7.34245624428223e-54	-0.648152527184912	0.0214014241822252	0.653965261339736	0.0328547024557953
gTSS-239299	CP006471	gTSS	-	239299	M744_RS01285	205	350	295	19	28	124	99	448	273	-1.76122997739248	5.89858384350103e-06	-0.454455739542586	0.21472028143856	0.714573234877093	0.0798606714014943
gTSS-240077	CP006471	gTSS	-	240077	M744_RS01290	593	14199	8741	63	76	15987	21784	6074	3980	-5.3274501476216	2.3774230914455e-76	1.75929339374285	5.28219905527713e-11	-0.611795167938134	0.0625722148179381
gTSS-239545	CP006471	gTSS	-	239545	M744_RS01290	61	806	529	3	5	1009	1365	296	194	-5.36802183166809	8.92383462339166e-20	1.87085014232847	6.96712811374095e-11	-0.877158291857685	0.0113403618113173
gTSS-239895	CP006471	gTSS	-	239895	M744_RS01290	411	282	261	19	23	279	304	236	123	-1.66346787455458	5.91176296590085e-06	1.15901445109322	0.000123824419148561	-0.0853893190836309	0.863212918355469
gTSS-1389219	CP006471	gTSS	-	1389219	M744_RS07120	21	7229	5821	185	267	1477	1614	7873	4283	-2.83047485112347	3.35425303024596e-37	-1.02047853559623	3.77552857362949e-06	0.425099172264729	0.118753766926249
gTSS+2622062	CP006471	gTSS	+	2622062	M744_RS12975	24	665	942	325	545	424	525	284	190	1.1145077915808	3.83613683246629e-05	0.285430984022037	0.340611697057483	-1.19134311350572	0.000149910747015623
gTSS+1057882	CP006471	gTSS	+	1057882	M744_RS05525	717	97	104	289	481	29	55	190	58	3.93930182357395	1.76426380426725e-38	-0.234351695014535	0.55387981176028	0.706746596051207	0.0760060967089251
gTSS-322567	CP006471	gTSS	-	322567	M744_RS01710	80	2195	1608	233	416	1026	1356	2354	1054	-0.55616865803143	0.0199123778393596	0.367068836563367	0.137721431689366	0.318718507701531	0.300437302613699
gTSS-323416	CP006471	gTSS	-	323416	M744_RS01710	929	719	783	378	500	486	688	694	402	1.25787001105188	8.45295052176283e-08	0.680100463787394	0.00532049053183226	0.0846503034565534	0.825206440549374
gTSS-324867	CP006471	gTSS	-	324867	M744_RS01720	36	431	358	15	18	445	531	351	215	-2.55222511699973	8.37149519404219e-12	1.35673022268524	1.67265145381974e-06	0.0728884168868772	0.87637854979608
gTSS+158417	CP006471	gTSS	+	158417	M744_RS00840	18	1287	955	83	128	1998	2766	1477	606	-1.395725379038	2.31821670069513e-08	2.1254578426738	2.76971631416192e-20	0.349505889904469	0.252467734941804
gTSS-540162	CP006471	gTSS	-	540162	M744_RS02840	16	394	379	111	110	353	622	321	136	0.258364107328668	0.4147412847651	1.35364333341905	4.8432497172458e-06	-0.293589106110406	0.486072539953784
gTSS+228994	CP006471	gTSS	+	228994	M744_RS01220	38	480	523	35	71	552	676	360	200	-1.25184974705326	1.74750288258357e-05	1.33900285308439	2.69150790318312e-07	-0.314010822106719	0.382186377859633
gTSS-671965	CP006471	gTSS	-	671965	M744_RS03535	16	2665	2403	909	1199	2378	3855	3517	1357	0.768837543538306	0.000642621312232542	1.32299504983858	4.97568992970429e-09	0.382694948053232	0.186327865467965
gTSS-1226743	CP006471	gTSS	-	1226743	M744_RS06310	41	702	504	8	9	1043	1502	488	261	-4.12410846029277	3.44294708047264e-21	2.11242621499943	3.7288077368394e-16	-0.166963229677485	0.675273203463409
gTSS-2557174	CP006471	gTSS	-	2557174	M744_RS12615	22	142	111	5	7	331	507	64	42	-2.38005392295655	1.02193505260939e-05	2.75786805478496	1.17128975058563e-16	-0.705032817899375	0.121485193586679
gTSS+568340	CP006471	gTSS	+	568340	M744_RS02980	23	346	278	52	64	136	167	336	169	-0.391552100694115	0.235299482777831	0.00518367160383885	0.988591659887507	0.199425182162546	0.651750999024279
gTSS+377913	CP006471	gTSS	+	377913	M744_RS02015	28	248	303	6	13	162	267	89	70	-2.86052627471985	6.75423128770817e-09	0.662587859915738	0.0872847034788548	-1.19279132176688	0.00741989133164229
gTSS-1763996	CP006471	gTSS	-	1763996	M744_RS08890	19	776	569	42	58	1751	2736	811	356	-1.72631184956819	9.90740454603692e-10	2.76627648639364	3.38949167470682e-30	0.267805735538808	0.439123943122493
gTSS+247534	CP006471	gTSS	+	247534	M744_RS01335	0	6543	7272	6418	9034	3704	4937	7177	3016	2.18644846896364	1.65196930962283e-30	0.363001706201965	0.0778464777777338	0.020670551405523	0.953497603602393
gTSS+904853	CP006471	gTSS	+	904853	M744_RS04670	76	1501	1931	1069	1217	378	422	1475	684	1.46825787145858	5.12366013856095e-10	-1.04742543709416	2.32637326367025e-05	-0.184565524624993	0.597537074316058
gTSS-1789331	CP006471	gTSS	-	1789331	M744_RS09030	104	392	148	62	127	1986	2605	424	292	0.466974208770572	0.224566035585989	4.13206805707077	2.40352166924802e-31	0.995376324171089	0.0216610853658241
gTSS-1789491	CP006471	gTSS	-	1789491	M744_RS09030	264	161	115	4	7	409	518	133	61	-2.63676231003388	1.16101669808295e-06	2.79335740732956	2.57079136288791e-19	-0.0246844401758832	0.967278250770164
gTSS-287675	CP006471	gTSS	-	287675	M744_RS01535	38	8350	5308	316	402	8894	14669	6817	2905	-2.21023469964712	5.20231040074405e-18	1.81068076223158	1.25502353391274e-12	-0.0259535915563818	0.954547080563922
gTSS-287304	CP006471	gTSS	-	287304	M744_RS01530	20	2435	1893	66	80	2863	3798	1800	849	-2.85421980809282	9.12996820644456e-31	1.66350483317151	5.76278144705966e-14	-0.218314141067199	0.489731764995667
gTSS-1788907	CP006471	gTSS	-	1788907	M744_RS09025	135	496	419	8	17	785	1071	469	221	-3.18949235607779	6.17019470993891e-17	2.05936763637996	7.20507279873672e-17	0.0820571109323899	0.843174942750281
gTSS-1786258	CP006471	gTSS	-	1786258	M744_RS09010	32	2337	3662	2498	3170	1216	1593	3616	1343	1.95703333983788	6.08216756740256e-15	-0.0542695491411621	0.861145424068042	0.153024434695618	0.692374366406046
gTSS-1786556	CP006471	gTSS	-	1786556	M744_RS09010	330	2764	2192	398	786	1925	2357	1549	738	-0.0854448409530903	0.726978443248826	0.837205328540386	0.000305675136912335	-0.623317317523709	0.0224012960362697
gTSS+364230	CP006471	gTSS	+	364230	M744_RS01955	19	1573	1205	19	22	229	313	1400	888	-4.05158963429508	4.13027953043231e-32	-1.31804196731248	1.43053133589583e-06	0.287003304301496	0.434991246104548
gTSS+70741	CP006471	gTSS	+	70741	M744_RS00385	18	1340	1123	267	368	919	1302	631	395	0.0718109940198271	0.784441848418091	0.886758283477514	0.000295889388306169	-0.703897844230662	0.0145161772687957
gTSS+180100	CP006471	gTSS	+	180100	M744_RS00970	18	391	355	18	26	313	454	204	140	-2.06542259855949	1.74446451055556e-08	1.07421715421913	0.000435857845339526	-0.541070586789806	0.165046411043769
gTSS+2232603	CP006471	gTSS	+	2232603	M744_RS11070	426	199	201	5	2	1169	2306	232	35	-3.73779077817258	3.21397976530916e-05	4.12701538224466	1.14042597306556e-08	-0.331128328027641	0.771721985489845
gTSS+2233002	CP006471	gTSS	+	2233002	M744_RS11070	27	1995	1465	379	786	977	1198	1374	854	0.402868502480819	0.129707557709245	0.378422771992464	0.173098801932307	-0.0734077664743618	0.86349329769389
gTSS+2232985	CP006471	gTSS	+	2232985	M744_RS11070	44	659	644	159	209	963	658	892	315	0.20890441793487	0.520253492279569	1.40989723280951	4.33406840237533e-06	0.30880967642529	0.470457151019191
gTSS+2232834	CP006471	gTSS	+	2232834	M744_RS11070	195	159	151	7	11	233	318	134	72	-2.09254671864355	8.75913678070218e-06	1.86868299283746	8.89108222017039e-09	-0.0733529519327675	0.895512587906176
gTSS+1358457	CP006471	gTSS	+	1358457	M744_RS06970	52	1775	1403	4013	4666	69	71	5049	1505	3.50339480069	1.3988721910732e-41	-3.44721607519814	2.04998929672607e-32	1.4216868947688	1.40918032891279e-06
gTSS-923534	CP006471	gTSS	-	923534	M744_RS04750	19	2303	2616	951	1500	3088	3532	2596	1065	1.00351812197904	9.62487567807761e-07	1.48117604579096	6.2138962057039e-13	0.0277520820222236	0.940387397034681
gTSS+1098689	CP006471	gTSS	+	1098689	M744_RS05730	114	4575	6148	537	765	2818	3527	2425	1774	-1.01972763897195	7.5274932633216e-05	0.287628123104441	0.305007704678378	-0.748201862611509	0.0141295610723833
gTSS-1047988	CP006471	gTSS	-	1047988	M744_RS05455	87	6573	7978	1269	1883	2460	3078	4051	2008	-0.18992255039218	0.367835020398106	-0.348706413487121	0.104219229059731	-0.762526763584364	0.00104409846624933
gTSS-4241	CP006471	gTSS	-	4241	M744_RS00020	26	690	650	24	30	1997	2966	456	260	-2.60742716295853	6.05343573950952e-18	2.9205253056073	2.35512800500438e-37	-0.370493281444109	0.232296422305452
gTSS-1791945	CP006471	gTSS	-	1791945	M744_RS09040	64	854	456	6752	8953	115	117	992	375	5.61946244828065	4.40113252205092e-94	-1.43605843019862	1.83579851828579e-06	0.498435639335795	0.169836445629195
gTSS+138590	CP006471	gTSS	+	138590	M744_RS00735	448	1806	2135	781	1118	1912	2605	1927	981	0.968565478880593	3.12335553667951e-06	1.23481808815028	3.82706262688165e-09	0.069494918745658	0.838917369645327
gTSS+139020	CP006471	gTSS	+	139020	M744_RS00735	18	638	525	24	40	775	1137	352	215	-2.17471315628298	4.26384618764792e-12	1.75041677194879	1.64829921562945e-11	-0.485896395118208	0.149963096451376
gTSS+189741	CP006471	gTSS	+	189741	M744_RS01015	29	44589	28273	886	1345	15644	19004	28809	14346	-3.01375387604026	1.37870185568924e-38	-0.0228789587577243	0.935140070021058	-0.250680399268491	0.445130006997363
gTSS+184863	CP006471	gTSS	+	184863	M744_RS00990	21	1583	1358	76	83	7347	9116	1277	247	-2.15621098242199	1.71846511391883e-10	3.53163134021385	1.6198900277421e-28	-0.655746125173912	0.106688300998129
gTSS-2621718	CP006471	gTSS	-	2621718	M744_RS12965	37	145	155	327	515	76	66	89	59	3.49795615756339	1.31692636891468e-34	-0.0120552290254597	0.974697810171953	-0.467230668102689	0.255620376199103
gTSS+291159	CP006471	gTSS	+	291159	M744_RS01555	146	297	200	22	13	268	335	258	129	-1.74794596767361	2.82077334801197e-05	1.32566154523934	0.000160747879227947	0.142973152723745	0.799052429432961
gTSS+479691	CP006471	gTSS	+	479691	M744_RS02530	24	449	444	31	31	254	360	137	110	-1.79794828223876	1.04850041455017e-06	0.495327661925442	0.154224588705835	-1.24415709810144	0.00122465560925968
gTSS-2159746	CP006471	gTSS	-	2159746	M744_RS10700	19	1943	2225	7875	12927	709	1106	1817	896	4.32176414072651	2.78250532741089e-101	-0.171771884008912	0.465552343393228	-0.119495099175007	0.709384982423307
gTSS+2628755	CP006471	gTSS	+	2628755	M744_RS13000	39	920	680	63	68	1913	2140	530	261	-1.56315752740896	1.34040261105258e-08	2.39676231955237	1.71318716973216e-22	-0.516158233857003	0.101968558800835
gTSS-2160119	CP006471	gTSS	-	2160119	M744_RS10700	392	512	548	88	74	209	243	295	336	-0.622796356253023	0.124322489268622	-0.178505099766364	0.693015403150998	-0.0341679144606292	0.961528339813442
gTSS+309880	CP006471	gTSS	+	309880	M744_RS01655	23	37285	40295	19923	31913	17848	19299	26517	12624	1.42442037854482	8.15593715378579e-14	-0.0046970164419034	0.98431533104384	-0.495554941086736	0.0349315437928296
gTSS-657485	CP006471	gTSS	-	657485	M744_RS03470	45	7432	8823	3666	5061	5727	6546	5723	3150	1.13014351866371	4.18102659143755e-08	0.647294883303193	0.00256159668000741	-0.344187059309684	0.20172752025967
gTSS-1656526	CP006471	gTSS	-	1656526	M744_RS08390	33	5622	6599	581	741	3907	5162	3730	1968	-1.17102340431319	2.63731618622989e-08	0.610175528533517	0.00481510116950238	-0.583003870233399	0.0201132295137463
gTSS+643248	CP006471	gTSS	+	643248	M744_RS03405	26	5702	6828	1118	2253	3096	4448	2906	1715	0.079985798118881	0.751799700864047	0.301482944846149	0.236013417861173	-0.891772400168854	0.000995583902944416
