tss_id	replicon	type	strand	position	source_locus_tag	source_start_distance_nt	mapping_status	mapping_reason	mapped_locus_tag	dark_log2fc	dark_padj	high_light_log2fc	high_light_padj	high_temperature_log2fc	high_temperature_padj	control_1	control_2	dark_1	dark_2	high_light_1	high_light_2	high_temperature_1	high_temperature_2
iTSS+1223114	CP006471	iTSS	+	1223114	M744_RS06295	865	mapped	exact_current_locus_id	M744_RS06295	-0.0566868582973657	0.862003736853154	0.148869864540221	0.660053939106184	0.299511531297868	0.454682562088205	364	310	56	107	156	207	430	175
aTSS+837606	CP006471	aTSS	+	837606	M744_RS04315	49	mapped	exact_current_locus_id	M744_RS04315	4.05147070603101	2.16280537909447e-73	-1.812103201198	7.43045580431515e-11	0.361054340382072	0.244041704557847	347	307	1010	1701	42	48	435	177
aTSS+836881	CP006471	aTSS	+	836881	M744_RS04315	774	mapped	exact_current_locus_id	M744_RS04315	5.94821224729195	6.55606403089159e-83	-1.0928128073676	0.0266850640809769	1.22587198051095	0.00195625168813696	44	35	511	681	7	11	103	34
aTSS-1050689	CP006471	aTSS	-	1050689	M744_RS05470	919	mapped	exact_current_locus_id	M744_RS05470	-2.50300057013857	1.23472277142797e-17	0.711742030673712	0.00740272383652184	0.170259660715084	0.65586077900266	975	1170	36	58	735	973	1379	450
aTSS+836834	CP006471	aTSS	+	836834	M744_RS04315	821	mapped	exact_current_locus_id	M744_RS04315	-0.37045818024995	0.394055556205258	-0.578409883568055	0.184334954153892	-0.578882928395685	0.273964792105971	181	309	26	72	76	82	159	75
iTSS+1493943	CP006471	iTSS	+	1493943	M744_RS07630	1494	mapped	exact_current_locus_id	M744_RS07630	1.91117312900274	1.66350446077767e-20	-0.183986250598254	0.433551936683915	0.271956274274256	0.336760990211792	3551	3088	2455	3724	1126	1738	4149	1702
iTSS+1494368	CP006471	iTSS	+	1494368	M744_RS07630	1919	mapped	exact_current_locus_id	M744_RS07630	1.94178106255639	3.84000809226013e-08	-0.937680290948616	0.0157930021624859	-0.243302466211051	0.650480828916832	246	300	173	362	72	64	297	68
iTSS+1493086	CP006471	iTSS	+	1493086	M744_RS07630	637	mapped	exact_current_locus_id	M744_RS07630	0.310951995523894	0.31147624637898	1.62327531747571	5.43910335309657e-09	0.662310065024887	0.0521259395642005	250	240	55	97	293	446	354	188
aTSS+916887	CP006471	aTSS	+	916887	M744_RS04720	23	mapped	exact_current_locus_id	M744_RS04720	6.99280645508994	4.64110055400217e-192	-1.36501207399803	1.8905211748019e-06	0.863529516908881	0.00297538924730525	290	289	7060	11291	41	69	612	189
iTSS-135648	CP006471	iTSS	-	135648	M744_RS00720	1232	mapped	exact_current_locus_id	M744_RS00720	5.34593294612956	5.42791791407834e-68	0.19155467031063	0.664649196625937	1.01623853452786	0.0118988886115667	36	51	340	540	23	25	84	41
iTSS-135524	CP006471	iTSS	-	135524	M744_RS00720	1356	mapped	exact_current_locus_id	M744_RS00720	0.238094359915678	0.408512435955888	-1.47457236445999	4.17754799535503e-07	0.70903877694055	0.0256011639268527	447	381	95	147	66	78	651	311
iTSS-136319	CP006471	iTSS	-	136319	M744_RS00720	561	mapped	exact_current_locus_id	M744_RS00720	-0.987192351694044	0.00424270751003834	0.927655196569181	0.0025923798365624	0.653746567555184	0.0757950748869186	302	232	29	37	201	295	424	183
iTSS-916483	CP006471	iTSS	-	916483	M744_RS04720	381	mapped	exact_current_locus_id	M744_RS04720	-2.05086848272068	3.92970107801427e-10	-0.902730622320192	0.00227914944817837	-0.359581627230219	0.342586104330015	497	561	26	37	123	151	404	186
aTSS-245764	CP006471	aTSS	-	245764	M744_RS01320	299	mapped	exact_current_locus_id	M744_RS01320	5.22609100523891	2.75951242706505e-72	0.273550935804724	0.443941598177421	-0.385780566297386	0.385119085366775	92	167	908	1517	72	79	112	36
aTSS+1022855	CP006471	aTSS	+	1022855	M744_RS05335	503	mapped	exact_current_locus_id	M744_RS05335	-0.160743661639943	0.588459747951553	-0.265462322751319	0.377892381676764	-0.0361570278359807	0.940387397034681	427	489	83	119	170	198	411	215
aTSS-242903	CP006471	aTSS	-	242903	M744_RS01310	463	mapped	exact_current_locus_id	M744_RS01310	-1.34002763853072	1.04371638475695e-05	-0.72548386877568	0.0153280530957676	0.0707701925378175	0.880029883413981	805	614	48	93	187	228	830	287
iTSS-2448192	CP006471	iTSS	-	2448192	M744_RS12040	264	mapped	exact_current_locus_id	M744_RS12040	5.4956438898176	1.62176126927263e-95	-0.596763433176645	0.0796689853915781	1.19285841596397	0.000205371947831729	129	98	1023	1503	30	43	299	93
iTSS+731824	CP006471	iTSS	+	731824	M744_RS03830	441	mapped	exact_current_locus_id	M744_RS03830	-1.23943678403818	3.95091682814085e-05	-0.912661404581704	0.00193957252212639	-0.147075052498036	0.73358287225949	583	692	46	90	147	181	495	294
iTSS+732295	CP006471	iTSS	+	732295	M744_RS03830	912	mapped	exact_current_locus_id	M744_RS03830	-1.22746656595322	0.00224377225911787	-0.748936015116954	0.0488233368473286	0.470717077124341	0.306884561372381	259	193	22	25	54	77	301	144
aTSS+1592137	CP006471	aTSS	+	1592137	M744_RS08115	55	mapped	exact_current_locus_id	M744_RS08115	-0.54302691732525	0.117093138214327	0.321904509977749	0.364261463947688	-1.00684920718545	0.00949465984601498	295	479	54	77	205	265	202	80
iTSS-2314008	CP006471	iTSS	-	2314008	M744_RS11435	219	mapped	exact_current_locus_id	M744_RS11435	5.95912173903053	1.70624329375265e-86	-1.91645715480576	0.000292064486710354	1.15315844207706	0.00279202316222987	52	49	610	949	5	8	135	36
aTSS+2313781	CP006471	aTSS	+	2313781	M744_RS11435	446	mapped	exact_current_locus_id	M744_RS11435	2.12393144258091	6.18261772386495e-15	0.609779332041352	0.0369852886440024	0.299731496171843	0.441299976896689	402	354	340	468	260	296	551	162
aTSS+2313963	CP006471	aTSS	+	2313963	M744_RS11435	264	mapped	exact_current_locus_id	M744_RS11435	2.85764706705878	7.40130225162613e-22	0.28740850987713	0.41013287440089	0.131135686254385	0.79271646706896	159	206	239	426	86	132	230	72
aTSS+2313367	CP006471	aTSS	+	2313367	M744_RS11435	860	mapped	exact_current_locus_id	M744_RS11435	-2.08410237082212	1.11904538346828e-09	1.34525704573143	2.88342875136591e-06	-0.620141679571857	0.0847442188323466	525	406	23	31	534	605	249	161
iTSS-670307	CP006471	iTSS	-	670307	M744_RS03530	686	mapped	exact_current_locus_id	M744_RS03530	3.06421600607144	1.90838415950536e-34	-2.13045208302712	4.62637413947941e-15	-0.0671261786415625	0.874903339696303	989	1336	1925	2886	141	111	1160	466
aTSS-1295044	CP006471	aTSS	-	1295044	M744_RS06670	479	mapped	exact_current_locus_id	M744_RS06670	1.69421301217852	6.47161570900043e-07	-1.75883131559718	1.91987127221889e-05	1.22317071045022	0.00167522825076775	159	123	94	130	21	19	357	131
iTSS+1295787	CP006471	iTSS	+	1295787	M744_RS06670	1222	mapped	exact_current_locus_id	M744_RS06670	-1.79622776429093	9.33193270741115e-05	-0.376499753264208	0.37802799595153	1.07045925326839	0.0157612103249063	220	183	5	25	59	93	455	171
aTSS+1686461	CP006471	aTSS	+	1686461	M744_RS08525	194	mapped	exact_current_locus_id	M744_RS08525	-0.224979532856776	0.406426945635218	-0.202609594650105	0.472429208155282	-0.0283629627926693	0.949556351771973	589	612	102	152	232	272	606	251
iTSS-1685701	CP006471	iTSS	-	1685701	M744_RS08525	954	mapped	exact_current_locus_id	M744_RS08525	-0.890502495715371	0.0464629772402178	-3.36875735328769	3.39488073125286e-10	0.708290985853668	0.154555902509914	184	162	19	27	10	6	308	112
aTSS-340060	CP006471	aTSS	-	340060	M744_RS01800	1007	mapped	exact_current_locus_id	M744_RS01800	-2.54917143478766	1.56715145017539e-06	-1.17092406543993	0.00683256516820488	0.666310717058687	0.186702662237434	205	179	8	8	40	42	360	107
iTSS-353393	CP006471	iTSS	-	353393	M744_RS01905	474	mapped	exact_current_locus_id	M744_RS01905	-1.42622510499198	1.11844646035903e-08	-1.95832547063817	7.28876204817107e-15	-0.0609993219364288	0.882431228089479	6823	4928	350	769	642	824	5849	2382
iTSS+716115	CP006471	iTSS	+	716115	M744_RS03750	324	mapped	exact_current_locus_id	M744_RS03750	4.43517077764824	1.55295207533939e-65	-1.64172300197408	6.34008232012854e-08	1.18269603547257	0.000101984558006479	435	288	1632	2189	51	61	930	308
aTSS-1273496	CP006471	aTSS	-	1273496	M744_RS06570	15	mapped	exact_current_locus_id	M744_RS06570	0.173964817071426	0.602801624579017	-1.36355882256793	4.1583848692161e-05	0.214812395764949	0.630611810578818	335	290	76	96	56	61	382	150
iTSS+2359433	CP006471	iTSS	+	2359433	M744_RS11685	330	mapped	exact_current_locus_id	M744_RS11685	0.851648835365841	0.0016186441668112	-1.89635679181079	5.34252059142437e-11	0.874025792147738	0.00493689102756101	758	520	223	349	75	91	1248	479
aTSS+2440105	CP006471	aTSS	+	2440105	M744_RS12000	473	mapped	exact_current_locus_id	M744_RS12000	1.83438255380425	4.81226607948601e-13	-0.237240893221845	0.4160177042255	0.0307077474984946	0.947446460224802	554	519	372	577	178	267	623	204
aTSS+2439197	CP006471	aTSS	+	2439197	M744_RS12000	1381	mapped	exact_current_locus_id	M744_RS12000	-1.52996712327933	5.3927484178268e-07	-0.248632404986396	0.439191860277728	-0.788909457335432	0.0226942611443485	688	1110	62	92	346	383	498	241
iTSS-2439509	CP006471	iTSS	-	2439509	M744_RS12000	1069	mapped	exact_current_locus_id	M744_RS12000	-4.75140525360609	5.52506127085728e-11	1.81335197873189	9.28461634020455e-09	-0.204996662474671	0.671096290832785	333	216	3	2	383	559	224	112
iTSS-2439725	CP006471	iTSS	-	2439725	M744_RS12000	853	mapped	exact_current_locus_id	M744_RS12000	-1.65046169101941	3.54300351367399e-06	0.0189880578959365	0.959046255157327	0.0295265133836231	0.957498520887757	369	323	24	30	158	180	378	143
aTSS+638908	CP006471	aTSS	+	638908	M744_RS03360	344	mapped	exact_current_locus_id	M744_RS03360	0.310446356299646	0.297371907926009	-0.534922403720401	0.0773363203652708	0.750302041706966	0.0244929470137172	486	452	119	167	133	182	914	287
iTSS-1922267	CP006471	iTSS	-	1922267	M744_RS09575	1565	mapped	exact_current_locus_id	M744_RS09575	0.882831285880615	0.00115156395066427	-0.815947833337204	0.00412593871039807	-0.190643950245729	0.632894759950446	709	1014	343	430	239	229	758	332
aTSS+1922634	CP006471	aTSS	+	1922634	M744_RS09575	1198	mapped	exact_current_locus_id	M744_RS09575	0.438571537260323	0.113643924365505	-1.71385905995041	2.75135482734227e-09	0.537152660008531	0.106615116402841	658	472	150	229	73	94	765	388
aTSS+240568	CP006471	aTSS	+	240568	M744_RS01300	295	mapped	exact_current_locus_id	M744_RS01300	-0.696722200861678	0.00078297419888337	-2.8147959641072	3.57499714194056e-42	0.294125159533114	0.281868358669259	16867	13643	1855	2800	991	1094	17126	8994
aTSS+238585	CP006471	aTSS	+	238585	M744_RS01280	11	mapped	exact_current_locus_id	M744_RS01280	-0.224881471790237	0.599832036826873	-2.39537379611698	1.54570408815315e-07	0.830532332055799	0.0727003885256857	156	200	22	56	13	20	314	141
aTSS+239410	CP006471	aTSS	+	239410	M744_RS01290	74	mapped	exact_current_locus_id	M744_RS01290	-1.08063788961893	4.30798671376429e-07	-2.49567769103017	2.97279307724838e-31	0.0317968398864324	0.934667356214831	13525	11108	1130	1759	1050	1037	11895	5883
aTSS+239984	CP006471	aTSS	+	239984	M744_RS01295	398	mapped	exact_current_locus_id	M744_RS01295	3.0638563291371	5.11255939083051e-34	-0.648615108324437	0.0185628914679052	0.112916952347394	0.783560263779725	661	1059	1409	2158	241	290	990	382
aTSS+240377	CP006471	aTSS	+	240377	M744_RS01295	5	mapped	exact_current_locus_id	M744_RS01295	0.278876004113313	0.366609341793483	-0.0923472226044609	0.790230855822881	-0.858998115844358	0.0140773518402733	410	407	83	168	175	194	199	113
aTSS-2622520	CP006471	aTSS	-	2622520	M744_RS12975	434	mapped	exact_current_locus_id	M744_RS12975	4.15054362404222	1.69181438217407e-70	0.478171635547928	0.0632632340891508	0.114888528512736	0.765794698897289	674	586	2197	3342	407	436	786	249
aTSS-1059453	CP006471	aTSS	-	1059453	M744_RS05525	854	mapped	exact_current_locus_id	M744_RS05525	0.00686476686263157	0.985204284134775	0.202828400663315	0.571637743526561	-0.0160818954177441	0.976597435665576	293	479	82	108	191	240	399	160
iTSS+221464	CP006471	iTSS	+	221464	M744_RS01180	1586	mapped	exact_current_locus_id	M744_RS01180	-0.410885774385335	0.242078725947195	1.89425939706113	4.12502515695981e-09	0.497960897882847	0.237647475629699	391	375	50	95	408	1024	540	239
aTSS+324709	CP006471	aTSS	+	324709	M744_RS01720	122	mapped	exact_current_locus_id	M744_RS01720	0.457183478870754	0.106594141583568	0.268793425417056	0.37327505989139	-0.260798680589739	0.504732458834365	410	548	141	180	238	324	373	190
aTSS+535961	CP006471	aTSS	+	535961	M744_RS02820	905	mapped	exact_current_locus_id	M744_RS02820	-0.451097814025652	0.0628559880324085	-1.05213676925647	1.26499794426984e-05	0.50712540291274	0.0758280951430997	1478	1271	199	298	264	383	2095	794
aTSS+536484	CP006471	aTSS	+	536484	M744_RS02820	382	mapped	exact_current_locus_id	M744_RS02820	-0.583649061231774	0.154635986801369	1.75945300303779	7.37073498238837e-07	0.0737213409543745	0.904792186526581	144	177	25	27	180	360	164	77
iTSS+158788	CP006471	iTSS	+	158788	M744_RS00840	353	mapped	exact_current_locus_id	M744_RS00840	2.86859382978279	1.2458195284802e-41	1.27971209159329	6.44967708758986e-09	-0.0442388840833749	0.909056315099237	529	484	698	1147	547	640	482	221
aTSS-158548	CP006471	aTSS	-	158548	M744_RS00840	113	mapped	exact_current_locus_id	M744_RS00840	1.1948556438603	2.74062326678042e-05	-1.97297498491532	1.69308467505798e-10	0.412509907273956	0.271282073102682	728	457	240	443	71	74	783	350
aTSS+539538	CP006471	aTSS	+	539538	M744_RS02840	608	mapped	exact_current_locus_id	M744_RS02840	1.95760663327092	3.34705466986776e-18	0.322897059848121	0.191224439470031	0.0296542627343894	0.942056633042232	2133	2056	1556	2493	1179	1346	2445	797
aTSS+539525	CP006471	aTSS	+	539525	M744_RS02840	621	mapped	exact_current_locus_id	M744_RS02840	5.78598414905012	9.39734610531197e-123	-1.4853372003819	3.91881637330976e-05	0.836900705424567	0.00829655440051836	110	96	1099	1723	11	25	187	79
aTSS+1226301	CP006471	aTSS	+	1226301	M744_RS06310	401	mapped	exact_current_locus_id	M744_RS06310	1.12109914635051	4.64972679457959e-05	-0.255704077480776	0.411463494055824	-0.124297424328409	0.775806953977193	325	323	148	197	107	158	297	131
iTSS+1060751	CP006471	iTSS	+	1060751	M744_RS05535	8	mapped	exact_current_locus_id	M744_RS05535	-2.41459055206003	3.58669287731286e-23	1.95977209442868	3.57574115886374e-19	-0.434036312803937	0.120681618535563	1893	1673	64	102	2647	4160	1221	630
aTSS-1061756	CP006471	aTSS	-	1061756	M744_RS05535	1013	mapped	exact_current_locus_id	M744_RS05535	2.58762429724368	9.56284038460957e-34	0.792619211214378	0.000435009854642836	0.00986477202977359	0.978850386047004	1015	792	1060	1631	696	814	891	410
iTSS-2556013	CP006471	iTSS	-	2556013	M744_RS12615	1139	mapped	exact_current_locus_id	M744_RS12615	3.26676743803164	6.68041697268638e-25	-0.15805746672288	0.696252689248197	0.185247801926146	0.719609814689167	129	140	261	377	40	79	183	51
iTSS+378037	CP006471	iTSS	+	378037	M744_RS02015	96	mapped	exact_current_locus_id	M744_RS02015	1.12808710894501	0.000241374248859199	-1.81140643671619	1.22527771590676e-07	0.458698520410302	0.249808846029144	288	332	158	167	42	43	452	175
aTSS-378347	CP006471	aTSS	-	378347	M744_RS02015	406	mapped	exact_current_locus_id	M744_RS02015	-2.76649667320181	1.580179000761e-10	-0.824817695107271	0.0236318401210605	-0.371542914021261	0.436720632038229	350	421	17	10	89	123	273	144
iTSS+378338	CP006471	iTSS	+	378338	M744_RS02015	397	mapped	exact_current_locus_id	M744_RS02015	0.0676573954113017	0.843078410426702	-2.50400383194456	2.86862668035832e-12	0.290194532065884	0.501759161955	316	341	58	116	26	30	386	185
aTSS+1763390	CP006471	aTSS	+	1763390	M744_RS08890	587	mapped	exact_current_locus_id	M744_RS08890	-0.147775916214916	0.592240929356663	0.257913361497842	0.359544222523556	1.09688873182257	0.000127601139679538	873	983	169	244	415	676	2232	759
aTSS-248051	CP006471	aTSS	-	248051	M744_RS01335	517	mapped	exact_current_locus_id	M744_RS01335	-2.36516166899479	3.11420073463378e-20	0.354909584661902	0.144983236774114	-0.80336368677202	0.00268349332103983	1258	1429	48	82	701	974	745	352
aTSS-248274	CP006471	aTSS	-	248274	M744_RS01335	740	mapped	exact_current_locus_id	M744_RS01335	-1.18566654762163	0.00106108855485016	-0.000391143010626806	0.999007074891629	-0.373785434427697	0.405809364325093	374	262	28	41	136	172	255	103
aTSS+1787350	CP006471	aTSS	+	1787350	M744_RS09020	1057	mapped	exact_current_locus_id	M744_RS09020	3.79482221737795	8.85424106306599e-36	-0.814369407203626	0.0263615072657334	-0.773143801617231	0.0642400624543365	117	164	304	700	31	47	79	38
aTSS+1788016	CP006471	aTSS	+	1788016	M744_RS09020	391	mapped	exact_current_locus_id	M744_RS09020	-0.570622182403263	0.128918629621629	2.84176256541041	2.8299263691492e-20	0.266589931036868	0.566340544550052	172	147	13	42	514	588	170	96
iTSS-1788341	CP006471	iTSS	-	1788341	M744_RS09020	66	mapped	exact_current_locus_id	M744_RS09020	-2.19683772828612	0.000893656238442044	3.82848836126246	5.33025294835241e-29	0.53804336373214	0.266517516806568	77	52	2	5	423	457	85	46
iTSS-1788167	CP006471	iTSS	-	1788167	M744_RS09020	240	mapped	exact_current_locus_id	M744_RS09020	-2.38430363712106	0.000255049587413388	3.20500608197916	6.06070061686486e-17	0.133511360884916	0.840266731185596	98	69	2	6	302	451	63	56
aTSS-364825	CP006471	aTSS	-	364825	M744_RS01955	576	mapped	exact_current_locus_id	M744_RS01955	0.602584097393895	0.0085362208991826	0.221138724774953	0.375278460293385	-0.184211998009461	0.573382858117355	894	832	273	369	427	549	711	359
aTSS-364241	CP006471	aTSS	-	364241	M744_RS01955	8	mapped	exact_current_locus_id	M744_RS01955	0.375655463822527	0.382038867897233	-1.91158205983902	1.37321974578717e-05	-1.0753366388666	0.0317723764741518	201	453	89	119	29	57	131	81
aTSS-180752	CP006471	aTSS	-	180752	M744_RS00970	634	mapped	exact_current_locus_id	M744_RS00970	3.99311475639342	1.81530033957524e-27	-0.398370764446696	0.390897502928756	-1.0462036834598	0.0434402578403144	61	99	188	473	19	41	34	20
aTSS-180080	CP006471	aTSS	-	180080	M744_RS00970	38	mapped	exact_current_locus_id	M744_RS00970	-1.36656041447403	1.56070726490691e-05	-0.594034005371954	0.0564534688773648	-0.270991258736022	0.517620291664209	527	671	49	65	174	210	406	264
aTSS-1098844	CP006471	aTSS	-	1098844	M744_RS05730	41	mapped	exact_current_locus_id	M744_RS05730	-2.45889651004148	2.46741321625604e-21	-1.73904946295901	4.35904035970034e-13	0.188537554238257	0.571536176873902	1448	1364	45	83	191	215	1540	737
iTSS+1099734	CP006471	iTSS	+	1099734	M744_RS05730	931	mapped	exact_current_locus_id	M744_RS05730	2.45243278305222	4.4346143252171e-20	-0.290381171772606	0.356744927233042	0.712402807382002	0.0315119079397718	266	276	275	467	84	133	493	171
iTSS-1044014	CP006471	iTSS	-	1044014	M744_RS05455	3887	mapped	exact_current_locus_id	M744_RS05455	4.20406160161027	3.28848027870766e-56	-1.55086845105324	1.60874693148084e-06	1.13170139975156	0.0003410177724729	232	249	851	1354	25	56	606	193
iTSS-1044470	CP006471	iTSS	-	1044470	M744_RS05455	3431	mapped	exact_current_locus_id	M744_RS05455	-0.700599065839006	0.0222382268977496	0.327255837853921	0.276455098179632	1.05158531210462	0.000689009100367818	368	323	46	58	195	223	738	305
aTSS-139484	CP006471	aTSS	-	139484	M744_RS00735	446	mapped	exact_current_locus_id	M744_RS00735	-1.4347597018308	0.000218702382464665	-0.304846525222908	0.440666534872219	-0.157665863602578	0.776811505164191	312	427	36	29	116	177	372	126
aTSS-189967	CP006471	aTSS	-	189967	M744_RS01015	197	mapped	exact_current_locus_id	M744_RS01015	-0.605344031733423	0.142924366760259	0.622183113062638	0.10644071555419	1.28803175916755	0.00181120050227156	186	153	15	42	89	169	427	176
aTSS-262104	CP006471	aTSS	-	262104	M744_RS01410	874	mapped	exact_current_locus_id	M744_RS01410	0.0030637729970717	0.989800857399581	-2.5922070701245	2.43342333063951e-28	-0.271632733049867	0.383446760620864	2665	3019	544	874	234	216	2394	1021
aTSS+1088579	CP006471	aTSS	+	1088579	M744_RS05685	1024	mapped	exact_current_locus_id	M744_RS05685	-2.44789671843226	5.75650656183991e-18	0.715253679632325	0.00979441898809275	0.165644338913138	0.681655210204669	2456	1496	60	123	1318	1842	2108	1028
aTSS-185330	CP006471	aTSS	-	185330	M744_RS00990	446	mapped	exact_current_locus_id	M744_RS00990	-1.30925498549619	9.12308374205951e-05	0.293560150539969	0.370967968714645	-0.387367212087621	0.336622082211654	335	430	32	44	204	250	304	123
iTSS-2621558	CP006471	iTSS	-	2621558	M744_RS12965	123	mapped	exact_current_locus_id	M744_RS12965	4.9132717339951	6.87211124464186e-36	-0.537698091994225	0.33686878406822	1.28498311832093	0.0101578964710092	41	25	191	303	10	12	102	23
aTSS-291333	CP006471	aTSS	-	291333	M744_RS01555	28	mapped	exact_current_locus_id	M744_RS01555	4.31657253271706	3.03112167582001e-66	-0.335161651786343	0.262914980841679	0.609042424471268	0.0601055346416423	309	256	1023	1804	96	121	499	155
aTSS-291946	CP006471	aTSS	-	291946	M744_RS01555	641	mapped	exact_current_locus_id	M744_RS01555	-0.30660639423704	0.333053424624203	-1.35204455699035	1.42611011571865e-05	-0.409816672247067	0.30020872054502	534	766	87	180	114	132	437	242
aTSS-2630884	CP006471	aTSS	-	2630884	M744_RS13000	2090	mapped	exact_current_locus_id	M744_RS13000	2.27212987674219	3.12841458296384e-16	0.551188393231903	0.0667646924993072	0.320219478385473	0.417061465365496	464	547	435	796	376	328	728	231
aTSS-2631491	CP006471	aTSS	-	2631491	M744_RS13000	10	mapped	exact_current_locus_id	M744_RS13000	3.52844147332568	4.67116947844862e-27	0.114524653332963	0.781894302434186	-1.2990821227235	0.00211664336265346	134	231	389	667	60	137	65	38
aTSS+2159389	CP006471	aTSS	+	2159389	M744_RS10700	338	mapped	exact_current_locus_id	M744_RS10700	4.13271172447611	2.92608154493222e-35	-1.57618552095595	0.00117629050040186	1.15300480393947	0.00528077437206451	69	55	223	311	11	9	159	49
